"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"DESTEK","0","10.000","0,00","10.000","0","0,00","0,00","0","0,00","0,00","0","0,00","NaN"
"DINAMIK","0","258","0,00","0","0","0,00","0,00","258","9.329,28","0,00","258","0,00","NaN"
"DENIZ","0","2.239.532","0,00","-312.029","-2.231","42,19","0,00","2.553.792","92.345.118,33","3,02","2.553.792","0,00","NaN"
"BURGAN","0","6.799","0,00","1.888","-2.497","36,43","0,00","7.408","267.873,28","0,01","7.408","0,00","NaN"
"BTCTURK","0","35.632","0,00","-1.958","5.428","36,26","0,00","32.162","1.162.977,92","0,04","32.162","0,00","NaN"
"EMEKLILIK FONLARI","0","15.122","0,00","0","0","0,00","0,00","15.122","546.811,52","0,02","15.122","0,00","NaN"
"FIBA","0","212.899","0,00","63.745","-40.938","36,87","0,00","190.092","6.873.726,69","0,22","190.092","0,00","NaN"
"QNB YATIRIM","0","574.867","0,00","43.489","1.454","39,48","0,00","529.924","19.162.051,76","0,63","529.924","0,00","NaN"
"GCM","0","4.744","0,00","0","0","0,00","0,00","4.744","171.543,04","0,01","4.744","0,00","NaN"
"GEDIK","0","579.758","0,00","-3.849","-31.429","36,63","0,00","615.036","22.239.701,67","0,73","615.036","0,00","NaN"
"GLOBAL","0","92.666","0,00","12.805","3.505","36,16","0,00","76.356","2.761.032,95","0,09","76.356","0,00","NaN"
"ING","0","171.513","0,00","-14.776","-4.786","36,41","0,00","191.075","6.909.271,97","0,23","191.075","0,00","NaN"
"GARANTI BBVA","0","3.142.479","0,00","170.158","58.592","36,82","0,00","2.913.729","105.360.440,20","3,45","2.913.729","0,00","NaN"
"HALK","0","1.645.202","0,00","114.886","-61.968","35,89","0,00","1.592.284","57.576.989,20","1,88","1.592.284","0,00","NaN"
"HSBC","0","47.721","0,00","20.000","4.781","35,95","0,00","22.940","829.510,40","0,03","22.940","0,00","NaN"
"INVEST AZ","0","63.718","0,00","0","28.378","36,38","0,00","35.340","1.277.894,39","0,04","35.340","0,00","NaN"
"ICBC TURKEY","0","100.008","0,00","0","0","0,00","0,00","100.008","3.616.289,26","0,12","100.008","0,00","NaN"
"IKON","0","168.000","0,00","0","0","0,00","0,00","168.000","6.074.879,97","0,20","168.000","0,00","NaN"
"INTEGRAL","0","4.558","0,00","3.920","-700","36,14","0,00","1.338","48.382,08","0,00","1.338","0,00","NaN"
"INFO","0","1.291.033","0,00","65.112","-11.665","35,84","0,00","1.237.586","44.751.109,57","1,46","1.237.586","0,00","NaN"
"IS","0","5.694.838","0,00","172.431","-75.937","36,01","0,00","5.598.344","202.436.118,19","6,63","5.598.344","0,00","NaN"
"KUVEYT TURK","0","467.592","0,00","16.262","17.352","36,28","0,00","433.978","15.692.644,41","0,51","433.978","0,00","NaN"
"MIDAS","0","1.771.821","0,00","262.920","-141.587","36,79","0,00","1.650.488","59.681.645,83","1,95","1.650.488","0,00","NaN"
"BANK OF AMERICA","0","1.965.093","0,00","-916.062","192.134","37,01","0,00","2.689.021","97.234.998,95","3,18","2.689.021","0,00","NaN"
"MARBAS","0","547.190","0,00","89.740","-59.905","36,01","0,00","517.355","18.707.556,72","0,61","517.355","0,00","NaN"
"MEKSA","0","103.852","0,00","18.973","-3.175","37,54","0,00","88.054","3.184.032,63","0,10","88.054","0,00","NaN"
"NCM INVESTMENT","0","601","0,00","0","0","0,00","0,00","601","21.732,16","0,00","601","0,00","NaN"
"OSMANLI","0","1.071.984","0,00","36.559","3.350","40,68","0,00","1.032.075","37.319.831,84","1,22","1.032.075","0,00","NaN"
"OYAK","0","967.453","0,00","81.069","-19.951","37,85","0,00","906.335","32.773.073,46","1,07","906.335","0,00","NaN"
"PHILLIP","0","322.152","0,00","-16.076","-36.805","35,88","0,00","375.033","13.561.193,22","0,44","375.033","0,00","NaN"
"PIRAMIT","0","65.205","0,00","1","0","0,00","0,00","65.204","2.357.776,63","0,08","65.204","0,00","NaN"
"SEKER","0","6.619","0,00","-599.401","-8.925","37,48","0,00","614.945","22.236.411,11","0,73","614.945","0,00","NaN"
"TACIRLER","0","297.806","0,00","46.679","-46.508","36,26","0,00","297.635","10.762.481,55","0,35","297.635","0,00","NaN"
"TEB","0","445.960","0,00","34.946","14.299","35,49","0,00","396.715","14.345.214,34","0,47","396.715","0,00","NaN"
"TURK EKONOMI BANKASI","0","866.780","0,00","0","0","0,00","0,00","866.780","31.342.764,67","1,03","866.780","0,00","NaN"
"TURKISH","0","1.028","0,00","600","-300","36,50","0,00","728","26.324,48","0,00","728","0,00","NaN"
"TERA","0","143.632","0,00","15.288","4.351","36,10","0,00","123.993","4.483.586,86","0,15","123.993","0,00","NaN"
"TRIVE","0","766.282","0,00","-33","-4.680","36,59","0,00","770.995","27.879.179,08","0,91","770.995","0,00","NaN"
"UNLU","0","255.455","0,00","4.217","381","-117,05","0,00","250.857","9.070.989,08","0,30","250.857","0,00","NaN"
"VAKIF","0","4.365.597","0,00","233.188","-39.519","36,54","0,00","4.171.928","150.856.915,84","4,94","4.171.928","0,00","NaN"
"YATIRIM FINANSMAN","0","1.371.992","0,00","2.095","-9.501","35,80","0,00","1.379.398","49.879.031,47","1,63","1.379.398","0,00","NaN"
"YATIRIM FONLARI","0","290.997","0,00","0","0","0,00","0,00","290.997","10.522.451,48","0,34","290.997","0,00","NaN"
"YAPI KREDI","0","5.519.159","0,00","427.284","483.601","36,17","0,00","4.608.274","166.635.187,14","5,45","4.608.274","0,00","NaN"
"ZIRAAT","0","3.928.252","0,00","582.362","-70.578","35,65","0,00","3.416.468","123.539.482,36","4,04","3.416.468","0,00","NaN"
