"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","0","24.797","0,00","0","8.070","36,12","0,00","16.727","604.848,32","0,02","16.727","0,00","NaN"
"A1 CAPITAL","0","1.326.250","0,00","193.657","-99.611","36,12","0,00","1.232.204","44.556.496,45","1,46","1.232.204","0,00","NaN"
"ANADOLU","0","7.385","0,00","0","0","0,00","0,00","7.385","267.041,60","0,01","7.385","0,00","NaN"
"AK","0","4.191.270","0,00","83.973","-146.146","35,97","0,00","4.253.443","153.804.498,23","5,03","4.253.443","0,00","NaN"
"PUSULA YAT.","0","16.027","0,00","-51.120","10.084","36,20","0,00","57.063","2.063.398,07","0,07","57.063","0,00","NaN"
"ALTERNATIF","0","2.066","0,00","0","0","0,00","0,00","2.066","74.706,56","0,00","2.066","0,00","NaN"
"ALNUS","0","224.392","0,00","-126.380","32.052","35,90","0,00","318.720","11.524.915,15","0,38","318.720","0,00","NaN"
"ATA","0","319.714","0,00","-158.298","-1.788","36,81","0,00","479.800","17.349.567,93","0,57","479.800","0,00","NaN"
"AHLATCI","0","83.874","0,00","16.251","-15.706","36,94","0,00","83.329","3.013.176,63","0,10","83.329","0,00","NaN"
"BULLS YATIRIM","0","2.210.874","0,00","-466.539","69.024","35,48","0,00","2.608.389","94.319.345,84","3,09","2.608.389","0,00","NaN"
"NEO MENKUL","0","203","0,00","0","0","0,00","0,00","203","7.340,48","0,00","203","0,00","NaN"
"BIZIM","0","222","0,00","0","0","0,00","0,00","222","8.027,52","0,00","222","0,00","NaN"
"CITIBANK YABANCI","0","34.606.795","0,00","0","0","0,00","0,00","34.606.795","1.251.381.701,92","40,95","34.606.795","0,00","NaN"
"COLENDI","0","-157.718","0,00","-157.977","0","0,00","0,00","259","9.365,44","0,00","259","0,00","NaN"
