"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","19.988","14.109","441.734,81","0","11.400","37,19","0,02","2.709","98.824,32","0,00","-17.279","-86,45","-342.910,49"
"A1 CAPITAL","3.461.109","1.455.879","76.490.510,22","19.222","96.300","37,25","4,10","1.340.357","48.896.222,75","1,59","-2.120.752","-61,27","-27.594.287,47"
"ANADOLU","3.357","2.934","74.189,70","0","0","0,00","0,00","2.934","105.506,64","0,00","-423","-12,60","31.316,94"
"AK","2.107.088","4.062.257","46.566.645,60","-88.996","110.361","37,17","2,49","4.040.892","147.411.738,31","4,78","1.933.804","91,78","100.845.092,71"
"PUSULA YAT.","230.992","25.546","5.104.923,29","-7.200","3.251","37,44","0,27","29.495","1.075.977,59","0,03","-201.497","-87,23","-4.028.945,70"
"ALLBATROSS ","16.169","1.138","357.334,91","-400","0","0,00","0,02","1.538","55.306,48","0,00","-14.631","-90,49","-302.028,43"
"ALTERNATIF","1.289","2.399","28.486,90","0","0","0,00","0,00","2.399","86.268,04","0,00","1.110","86,11","57.781,14"
"ALNUS","104.646","304.789","2.312.676,64","2.963","-41.740","37,67","0,12","343.566","12.533.287,52","0,41","238.920","228,31","10.220.610,88"
"ATA","269.752","504.878","5.961.519,30","49.603","-46.000","35,91","0,32","501.275","18.286.511,77","0,59","231.523","85,83","12.324.992,47"
"AKTIF ","0","27.926","0,00","0","6","162,69","0,00","27.920","1.018.521,59","0,03","27.920","0,00","NaN"
"AHLATCI","306.717","40.501","6.778.445,82","0","1.159","37,22","0,36","39.342","1.435.196,14","0,05","-267.375","-87,17","-5.343.249,68"
"BULLS YATIRIM","685.606","2.727.301","15.151.892,86","13.386","247.333","37,03","0,81","2.466.582","89.980.910,23","2,92","1.780.976","259,77","74.829.017,37"
"NEO MENKUL","0","3","0,00","0","0","0,00","0,00","3","107,88","0,00","3","0,00","NaN"
"BIZIM","332","222","7.337,20","0","0","0,00","0,00","222","7.983,12","0,00","-110","-33,13","645,92"
"CITIBANK YABANCI","20.215","35.206.550","446.751,51","0","0","0,00","0,02","35.206.550","1.266.027.505,77","41,66","35.186.335","174.060,52","1.265.580.754,26"
"COLENDI","12.432","247","274.747,20","-20","-691","29,76","0,01","958","34.947,84","0,00","-11.474","-92,29","-239.799,37"
"DINAMIK","389","258","8.596,90","0","0","0,00","0,00","258","9.277,68","0,00","-131","-33,68","680,78"
"DENIZ","2.133.075","2.911.528","47.140.958,31","51.097","99.430","37,27","2,52","2.761.001","100.721.315,22","3,27","627.926","29,44","53.580.356,90"
"BURGAN","12.318","24.931","272.227,80","17.697","0","0,00","0,01","7.234","260.134,63","0,01","-5.084","-41,27","-12.093,17"
"BTCTURK","75.241","36.367","1.662.826,13","5","-8.333","36,81","0,09","44.695","1.630.473,58","0,05","-30.546","-40,60","-32.352,55"
"EMEKLILIK FONLARI","15.122","15.122","334.196,21","0","0","0,00","0,02","15.122","543.787,11","0,02","0","0,00","209.590,90"
"FIBA","54.389","332.367","1.201.996,92","4.999","4.896","37,81","0,06","322.472","11.763.778,41","0,38","268.083","492,90","10.561.781,49"
"QNB YATIRIM","415.572","768.436","9.184.141,36","21.262","48.115","37,42","0,49","699.059","25.501.672,00","0,83","283.487","68,22","16.317.530,64"
"GCM","0","3.087","0,00","0","0","0,00","0,00","3.087","111.008,52","0,00","3.087","0,00","NaN"
"GEDIK","757.479","705.449","16.740.286,19","5.050","1.833","36,27","0,90","698.566","25.483.687,36","0,83","-58.913","-7,78","8.743.401,17"
"GLOBAL","15.265","83.573","337.356,51","-274","-3.205","36,51","0,02","87.052","3.175.656,92","0,10","71.787","470,27","2.838.300,41"
