"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ING","208.704","160.502","4.612.358,48","13.622","33.081","37,01","0,25","113.799","4.151.387,47","0,13","-94.905","-45,47","-460.971,01"
"GARANTI BBVA","4.177.518","2.972.368","92.323.149,39","-7.152","206.229","37,97","4,94","2.773.291","101.169.654,41","3,28","-1.404.227","-33,61","8.846.505,02"
"HALK","1.633.905","1.570.504","36.109.301,12","-23.955","28.095","38,13","1,93","1.566.364","57.140.958,00","1,85","-67.541","-4,13","21.031.656,88"
"HSBC","31.005","28.002","685.210,51","3.000","5.000","37,61","0,04","20.002","729.672,95","0,02","-11.003","-35,49","44.462,44"
"INVEST AZ","14.078","77.987","311.123,81","0","10.875","35,51","0,02","67.112","2.448.245,73","0,08","53.034","376,72","2.137.121,92"
"ICBC TURKEY","179.553","95.002","3.968.121,37","0","0","0,00","0,21","95.002","3.416.271,83","0,11","-84.551","-47,09","-551.849,54"
"IKON","344.493","157.000","7.613.295,43","0","0","0,00","0,41","157.000","5.645.719,86","0,19","-187.493","-54,43","-1.967.575,58"
"INTEGRAL","2.850","8.169","62.985,00","0","4.471","36,88","0,00","3.698","134.903,04","0,00","848","29,75","71.918,04"
"INFO","3.872.133","894.563","85.574.140,78","-58.598","129.293","38,09","4,58","823.868","30.054.704,26","0,97","-3.048.265","-78,72","-55.519.436,51"
"IS","4.751.341","5.421.696","105.004.637,91","-230.998","-419.084","38,02","5,62","6.071.778","221.498.458,66","7,19","1.320.437","27,79","116.493.820,75"
"KUVEYT TURK","208.220","406.270","4.601.662,08","-18.294","-60.122","36,60","0,25","484.686","17.681.345,06","0,57","276.466","132,78","13.079.682,98"
"MIDAS","1.880.422","2.072.459","41.557.326,92","-18.081","119.426","39,23","2,23","1.971.114","71.906.237,82","2,33","90.692","4,82","30.348.910,90"
"BANK OF AMERICA","2.959.872","559.824","65.413.172,33","203.299","-983.614","37,42","3,50","1.340.139","48.888.270,11","1,59","-1.619.733","-54,72","-16.524.902,22"
"MARBAS","343.226","123.437","7.585.294,73","-2.384","13.296","37,95","0,41","112.525","4.104.911,95","0,13","-230.701","-67,22","-3.480.382,78"
"MEKSA","29.324","71.025","648.060,41","3.000","8.606","37,83","0,03","59.419","2.167.605,09","0,07","30.095","102,63","1.519.544,68"
"NCM INVESTMENT","7.995","601","176.689,50","0","0","0,00","0,01","601","21.611,96","0,00","-7.394","-92,48","-155.077,54"
"OSMANLI","1.712.759","1.000.296","37.851.974,55","7.274","-3.643","39,88","2,03","996.665","36.358.338,74","1,18","-716.094","-41,81","-1.493.635,81"
"OYAK","797.353","954.988","17.621.501,60","-16.962","17.151","39,20","0,94","954.799","34.831.067,08","1,13","157.446","19,75","17.209.565,48"
"PHILLIP","240.907","471.725","5.324.044,79","13.389","53.388","36,88","0,29","404.948","14.772.502,85","0,48","164.041","68,09","9.448.458,06"
"PIRAMIT","100.000","1","2.210.000,04","0","0","0,00","0,12","1","35,96","0,00","-99.999","-100,00","-2.209.964,08"
"SEKER","35.899","139.096","793.367,91","3.297","16.648","37,48","0,04","119.151","4.346.628,43","0,14","83.252","231,91","3.553.260,51"
"TACIRLER","65.280","458.977","1.442.688,02","-3.018","7.515","43,21","0,08","454.480","16.579.430,19","0,54","389.200","596,20","15.136.742,17"
"TEB","444.792","653.693","9.829.903,37","143.442","51.968","38,33","0,53","458.283","16.718.163,63","0,54","13.491","3,03","6.888.260,26"
"TURK EKONOMI BANKASI","600.238","1.784.634","13.265.260,03","0","0","0,00","0,71","1.784.634","64.175.437,01","2,11","1.184.396","197,32","50.910.176,98"
"TURKISH","205","985","4.530,50","-150","0","0,00","0,00","1.135","40.814,60","0,00","930","453,66","36.284,10"
"TERA","419.410","231.560","9.268.961,16","-16.497","13.195","37,15","0,50","234.862","8.567.765,65","0,28","-184.548","-44,00","-701.195,51"
"TRIVE","1.815.982","754.243","40.133.202,89","-6.638","190","36,14","2,15","760.691","27.750.007,33","0,90","-1.055.291","-58,11","-12.383.195,56"
"UNLU","27.713","-42.861","612.457,31","-58.059","-46.960","38,66","0,03","62.158","2.267.523,81","0,07","34.445","124,29","1.655.066,50"
"VAKIF","3.442.561","4.353.617","76.080.599,41","80.988","159.841","36,93","4,07","4.112.788","150.034.504,36","4,87","670.227","19,47","73.953.904,94"
"YATIRIM FINANSMAN","636.335","1.687.301","14.063.003,74","557","-2.335","36,08","0,75","1.689.079","61.617.601,15","2,00","1.052.744","165,44","47.554.597,40"
"YATIRIM FONLARI","34.781.618","220.117","768.673.771,07","0","0","0,00","41,16","220.117","7.915.407,12","0,26","-34.561.501","-99,37","-760.758.363,95"
"YAPI KREDI","2.931.935","4.600.926","64.795.764,62","-52.158","75.091","36,88","3,47","4.577.993","167.005.182,54","5,42","1.646.058","56,14","102.209.417,93"
"ZIRAAT","5.083.832","3.343.495","112.352.689,14","-47.318","38.284","36,60","6,02","3.352.529","122.300.256,39","3,97","-1.731.303","-34,06","9.947.567,25"
"TOPLAM FARK","0","10.001","0,00","0","0","0,00","0,00","10.001","364.836,48","0,01","10.001","0,00","NaN"
