"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","10.612.451","109.769","22.392.271,17","20.000","80","1,72","0,72","89.689","157.853,20","0,01","-10.522.762","-99,15","-22.234.417,97"
"A1 CAPITAL","230.484.516","240.189.301","486.322.304,37","1.108.227","367.711","1,74","15,62","238.713.363","420.135.517,31","16,18","8.228.848","3,57","-66.186.787,06"
"ANADOLU","2.317.736","2.238.392","4.890.422,29","0","0","0,00","0,16","2.238.392","3.939.569,55","0,15","-79.344","-3,42","-950.852,75"
"AKBANK","2","2","5,15","0","0","0,00","0,00","2","4,29","0,00","0","0,00","-0,85"
"AK","63.606.915","57.221.329","134.210.584,15","-306.303","33.137","1,64","4,31","57.494.495","101.190.310,79","3,90","-6.112.420","-9,61","-33.020.273,35"
"ALFA MENKUL","39","39","82,75","0","0","0,00","0,00","39","69,03","0,00","0","0,00","-13,73"
"PUSULA YAT.","1.546.167","1.332.661","3.262.411,15","5.000","2.750","1,74","0,10","1.324.911","2.331.842,47","0,09","-221.256","-14,31","-930.568,69"
"ALAN","2","2","3,48","0","0","0,00","0,00","2","2,90","0,00","0","0,00","-0,58"
"ALLBATROSS ","6.793","71.793","14.333,23","0","0","0,00","0,00","71.793","126.355,68","0,00","65.000","956,87","112.022,45"
"ALTERNATIF","1.260.275","1.251.945","2.659.179,61","0","0","0,00","0,09","1.251.945","2.203.422,77","0,08","-8.330","-0,66","-455.756,85"
"ALNUS","2.790.335","7.542.754","5.887.605,50","511.109","-205.359","1,75","0,19","7.237.004","12.737.126,09","0,49","4.446.669","159,36","6.849.520,59"
"ATA","2.604.763","3.241.574","5.496.049,80","8.736","465","0,01","0,18","3.232.373","5.688.976,57","0,22","627.610","24,09","192.926,77"
"AHLATCI","6.591.065","6.121.653","13.907.147,37","-640.350","0","0,00","0,45","6.762.003","11.901.125,97","0,46","170.938","2,59","-2.006.021,39"
