"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"BULLS YATIRIM","1.606.715","2.711.727","3.390.168,65","-78.096","-3.688","1,75","0,11","2.793.511","4.916.579,47","0,19","1.186.796","73,86","1.526.410,82"
"NEO MENKUL","446.470","446.470","942.051,65","0","0","0,00","0,03","446.470","785.787,20","0,03","0","0,00","-156.264,46"
"BIZIM","1.610.922","1.610.922","3.399.045,19","0","0","0,00","0,11","1.610.922","2.835.222,65","0,11","0","0,00","-563.822,54"
"BASKENT","10","10","21,10","0","0","0,00","0,00","10","17,60","0,00","0","0,00","-3,50"
"CITIBANK YABANCI","271.157","521.365","572.140,23","0","0","0,00","0,02","521.365","917.601,55","0,04","250.208","92,27","345.461,32"
"COLENDI","301.556","362.597","636.282,07","0","311.860","1,75","0,02","50.737","89.296,24","0,00","-250.819","-83,18","-546.985,83"
"CEROS","0","0","0,44","0","0","0,00","0,00","0","0,37","0,00","0","0,00","-0,07"
"CENSA","23","23","49,14","0","0","0,00","0,00","23","40,99","0,00","0","0,00","-8,15"
"DEUTSCHE BANK (YABANCI)","1","1","1,90","0","0","0,00","0,00","1","1,58","0,00","0","0,00","-0,31"
"DELTA","0","0","0,74","0","0","0,00","0,00","0","0,62","0,00","0","0,00","-0,12"
"DEHA","2","2","4,18","0","0","0,00","0,00","2","3,48","0,00","0","0,00","-0,69"
"DINAMIK","47.123","42.124","99.428,47","0","0","0,00","0,00","42.124","74.137,36","0,00","-4.999","-10,61","-25.291,11"
"DENIZ","49.550.239","42.698.362","104.550.998,44","729.926","333.666","1,76","3,36","41.634.770","73.277.194,26","2,82","-7.915.469","-15,97","-31.273.804,18"
"BURGAN","346.747","1.016.533","731.635,52","-4.420","-300","1,81","0,02","1.021.253","1.797.404,76","0,07","674.506","194,52","1.065.769,24"
"BTCTURK","648.576","725.215","1.368.495,29","-2.977","-851","1,76","0,04","729.043","1.283.115,67","0,05","80.467","12,41","-85.379,62"
"ENDEKS MENKUL","2","2","3,92","0","0","0,00","0,00","2","3,27","0,00","0","0,00","-0,65"
"EURO FINANS ","1","1","2,95","0","0","0,00","0,00","1","2,46","0,00","0","0,00","-0,49"
"FIBA","1.697.529","2.279.679","3.581.786,01","-6.863","43.284","1,74","0,12","2.243.258","3.948.134,06","0,15","545.729","32,15","366.348,05"
"QNB YATIRIM","13.783.399","16.410.103","29.082.971,44","-304.366","-147.778","1,72","0,93","16.862.247","29.677.555,39","1,14","3.078.848","22,34","594.583,95"
"GCM","40.555","96.480","85.571,05","0","0","0,00","0,00","96.480","169.804,80","0,01","55.925","137,90","84.233,75"
"GEDIK","20.099.623","14.753.998","42.410.201,68","372.945","-661.333","1,73","1,36","15.042.386","26.474.598,60","1,02","-5.057.237","-25,16","-15.935.603,08"
"GLOBAL","2.341.235","2.864.659","4.940.005,48","-3.100","10.251","1,79","0,16","2.857.508","5.029.213,95","0,19","516.273","22,05","89.208,47"
"ING","1.302.078","1.626.232","2.747.384,44","217.415","9.704","1,73","0,09","1.399.113","2.462.438,87","0,09","97.035","7,45","-284.945,58"
"GARANTI BBVA","115.523.333","113.361.852","243.754.219,69","-701.801","-131.291","1,68","7,83","114.194.944","200.983.099,66","7,74","-1.328.389","-1,15","-42.771.120,02"
"HALK","39.509.227","40.681.309","83.364.465,12","223.423","426.753","1,76","2,68","40.031.133","70.454.793,94","2,71","521.906","1,32","-12.909.671,18"
"HSBC","3.455.891","3.509.311","7.291.929,27","-2.931","-1.750","1,73","0,23","3.513.992","6.184.625,57","0,24","58.101","1,68","-1.107.303,70"
"HEDEF ","1.180.198","1.180.198","2.490.217,66","0","0","0,00","0,08","1.180.198","2.077.148,47","0,08","0","0,00","-413.069,19"
"INVEST AZ","2.626.840","5.376.253","5.542.632,12","360.629","966","1,77","0,18","5.014.658","8.825.798,03","0,34","2.387.818","90,90","3.283.165,91"
"ICBC BANK","2.633","2.633","5.555,14","0","0","0,00","0,00","2.633","4.633,68","0,00","0","0,00","-921,47"
"ICBC TURKEY","16.338.890","10.682.382","34.475.057,16","-22.473","0","0,00","1,11","10.704.855","18.840.545,51","0,73","-5.634.035","-34,48","-15.634.511,65"
"IKON","153.001","12","322.832,09","0","0","0,00","0,01","12","21,12","0,00","-152.989","-99,99","-322.810,97"
"INTEGRAL","217.184","236.653","458.258,43","0","196","1,74","0,01","236.457","416.164,49","0,02","19.273","8,87","-42.093,93"
"INFO","218.941.700","221.745.847","461.966.963,44","999.868","-303.623","1,76","14,84","221.049.602","389.047.296,92","14,98","2.107.902","0,96","-72.919.666,52"
"IS","144.246.056","161.878.744","304.359.162,86","-3.054.563","209.366","1,76","9,77","164.723.941","289.914.134,41","11,16","20.477.885","14,20","-14.445.028,45"
"KUVEYT TURK","1.405.211","2.065.369","2.964.994,01","44.147","-9.100","1,76","0,10","2.030.322","3.573.365,82","0,14","625.111","44,49","608.371,81"
"MIDAS","28.919.160","30.420.893","61.019.423,64","1.768.832","-472.623","1,75","1,96","29.124.684","51.259.442,79","1,97","205.524","0,71","-9.759.980,85"
"BANK OF AMERICA","14.049.950","8.486.416","29.645.391,97","-2.825.640","-1.972.870","1,76","0,95","13.284.926","23.381.468,75","0,90","-765.024","-5,45","-6.263.923,22"
"MARBAS","16.971.002","21.082.533","35.808.811,79","-275.708","-498","7,13","1,15","21.358.739","37.591.379,89","1,45","4.387.737","25,85","1.782.568,11"
"MERKEZ MENKUL","25","25","53,09","0","0","0,00","0,00","25","44,28","0,00","0","0,00","-8,81"
"MEKSA","1.568.575","1.864.148","3.309.693,28","110.569","-50.001","1,79","0,11","1.803.580","3.174.300,94","0,12","235.005","14,98","-135.392,33"
"NCM INVESTMENT","53.336","52.825","112.538,64","0","0","0,00","0,00","52.825","92.971,74","0,00","-511","-0,96","-19.566,90"
"NUROL MENKUL","30","30","63,30","0","0","0,00","0,00","30","52,80","0,00","0","0,00","-10,50"
"OSMANLI","19.251.650","21.225.040","40.620.979,82","-11.427","-125.839","1,72","1,30","21.362.306","37.597.658,64","1,45","2.110.656","10,96","-3.023.321,18"
"OYAK","20.918.960","25.876.436","44.139.003,47","-308.160","-140.317","1,70","1,42","26.324.913","46.331.846,68","1,78","5.405.953","25,84","2.192.843,21"
"PHILLIP","4.127.146","5.860.279","8.708.278,20","135.401","-56.867","1,83","0,28","5.781.745","10.175.871,62","0,39","1.654.599","40,09","1.467.593,42"
"PIRAMIT","815.153","523.278","1.719.972,93","0","0","0,00","0,06","523.278","920.969,43","0,04","-291.875","-35,81","-799.003,50"
"PAPARA ","1","1","2,11","0","0","0,00","0,00","1","1,76","0,00","0","0,00","-0,35"
"RAYMOND JAMES","10","10","21,82","0","0","0,00","0,00","10","18,20","0,00","0","0,00","-3,62"
"SAXO CAPITAL","13","13","27,85","0","0","0,00","0,00","13","23,23","0,00","0","0,00","-4,62"
"SEKER","4.402.614","3.818.217","9.289.515,27","-925.180","-14.669","1,94","0,30","4.758.066","8.374.196,27","0,32","355.452","8,07","-915.319,00"
"SOYMEN MENKUL","2","2","4,87","0","0","0,00","0,00","2","4,07","0,00","0","0,00","-0,81"
"STRATEJI","617","50.617","1.302,71","0","0","0,00","0,00","50.617","89.086,62","0,00","50.000","8.098,48","87.783,91"
"TACIRLER","14.014.922","13.850.702","29.571.483,15","210.933","-20.000","1,86","0,95","13.659.769","24.041.192,64","0,93","-355.153","-2,53","-5.530.290,51"
"TEB","18.785.673","21.421.642","39.637.768,57","144.185","-183.557","1,74","1,27","21.461.014","37.771.384,86","1,45","2.675.341","14,24","-1.866.383,71"
"TURK EKONOMI BANKASI","2","254.698","4,22","0","0","0,00","0,00","254.698","448.268,48","0,02","254.696","12.734.800,00","448.264,26"
"TFG ISTANBUL","479","479","1.010,71","0","0","0,00","0,00","479","843,06","0,00","0","0,00","-167,65"
"GARANTI BANKASI","39","39","82,02","0","0","0,00","0,00","39","68,41","0,00","0","0,00","-13,60"
"IS BANKASI","1.053","1.053","2.220,82","0","0","0,00","0,00","1.053","1.852,47","0,00","0","0,00","-368,35"
"TAKSIM","1","1","1,77","0","0","0,00","0,00","1","1,48","0,00","0","0,00","-0,29"
"TURKISH","365.682","355.682","771.588,86","0","0","0,00","0,02","355.682","626.000,21","0,02","-10.000","-2,73","-145.588,64"
"TERA","95.693","146.450","201.911,33","-54.000","0","0,00","0,01","200.450","352.791,26","0,01","104.757","109,47","150.879,93"
"SINAI KALKINMA BANKASI","3","3","6,96","0","0","0,00","0,00","3","5,81","0,00","0","0,00","-1,15"
"TRIVE","1.550.220","2.033.522","3.270.963,57","10.651","-10.631","1,72","0,11","2.033.502","3.578.963,11","0,14","483.282","31,18","307.999,54"
"UNLU","668.826","177.297","1.411.222,05","-293.105","-3.848","1,25","0,05","474.250","834.679,38","0,03","-194.576","-29,09","-576.542,67"
"VAKIF","78.218.457","75.734.826","165.040.936,36","1.565.811","-220.198","1,74","5,30","74.389.213","130.925.014,42","5,04","-3.829.244","-4,90","-34.115.921,94"
"YATIRIM FINANSMAN","14.236.886","5.338.542","30.039.827,38","22.061","-73.942","1,77","0,96","5.390.423","9.487.143,94","0,37","-8.846.463","-62,14","-20.552.683,44"
"YATIRIM FONLARI","141.135.501","133.809.337","297.795.891,25","0","0","0,00","9,56","133.809.337","235.504.430,96","9,07","-7.326.164","-5,19","-62.291.460,29"
"YAPI KREDI BANKASI","2.507","2.507","5.290,63","0","0","0,00","0,00","2.507","4.413,04","0,00","0","0,00","-877,59"
"YAPI KREDI","73.120.368","61.210.253","154.283.969,70","-8.664","3.337.598","1,74","4,95","57.881.319","101.871.121,17","3,92","-15.239.049","-20,84","-52.412.848,53"
"YATIRIMCI TAZMIN MERKEZI","2.055","2.062","4.336,43","0","0","0,00","0,00","2.062","3.629,89","0,00","7","0,35","-706,54"
"ZIRAAT","62.948.588","73.958.815","132.821.514,50","1.260.259","-276.854","1,73","4,27","72.975.410","128.436.720,38","4,94","10.026.822","15,93","-4.384.794,12"
"TOPLAM FARK","1.164","1.164","2.455,79","0","0","","0,00","1.164","2.048,43","0,00","0","0,00","-407,36"
