"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"TURK EKONOMI BANKASI","10.826","238.008","314.375,43","0","0","0,00","0,02","238.008","9.515.543,74","0,53","227.182","2.098,56","9.201.168,31"
"IS BANKASI","16","17","453,02","0","0","0,00","0,00","17","663,67","0,00","1","6,41","210,64"
"TURKISH","1.973","7.913","57.295,92","-100","0","0,00","0,00","8.013","320.359,74","0,02","6.040","306,13","263.063,81"
"TERA","36.324","27.577","1.054.848,99","752","6.000","39,29","0,08","20.825","832.583,49","0,05","-15.499","-42,67","-222.265,50"
"TRIVE","46.600","33.790","1.353.258,23","1.721","-1.819","39,32","0,10","33.888","1.354.834,23","0,08","-12.712","-27,28","1.575,99"
"UNLU","279.631","303.984","8.120.490,30","207","6.864","39,27","0,63","296.913","11.870.589,60","0,66","17.282","6,18","3.750.099,30"
"VAKIF","3.587.103","3.518.118","104.169.480,79","10.045","-99.363","38,85","8,03","3.607.436","144.225.298,42","8,08","20.333","0,57","40.055.817,63"
"YATIRIM FINANSMAN","81.284","107.844","2.360.475,82","-501","3.100","39,33","0,18","105.245","4.207.679,06","0,24","23.961","29,48","1.847.203,24"
"YATIRIM FONLARI","484.491","2.788.128","14.069.619,08","0","0","0,00","1,09","2.788.128","111.469.356,16","6,24","2.303.637","475,48","97.399.737,08"
"YAPI KREDI","3.435.586","2.688.462","99.769.414,78","-80.427","-31.814","39,11","7,69","2.800.703","111.972.096,66","6,27","-634.883","-18,48","12.202.681,88"
"ZIRAAT","4.138.833","3.461.023","120.191.707,43","26.706","-7.704","38,91","9,27","3.442.021","137.611.988,81","7,71","-696.812","-16,84","17.420.281,38"
"TOPLAM FARK","0","0","0,58","0","0","","0,00","0","0,80","0,00","0","0,00","0,22"
