"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","16.377","14.109","610.206,99","0","11.400","37,19","0,02","2.709","98.824,32","0,00","-13.668","-83,46","-511.382,67"
"A1 CAPITAL","1.251.377","1.455.879","46.626.304,92","19.222","96.300","37,25","1,48","1.340.357","48.896.222,75","1,59","88.980","7,11","2.269.917,83"
"ANADOLU","2.936","2.934","109.395,36","0","0","0,00","0,00","2.934","105.506,64","0,00","-2","-0,07","-3.888,72"
"AK","4.192.992","4.062.257","156.230.874,88","-88.996","110.361","37,17","4,96","4.040.892","147.411.738,31","4,78","-152.100","-3,63","-8.819.136,57"
"PUSULA YAT.","71.963","25.546","2.681.341,26","-7.200","3.251","37,44","0,09","29.495","1.075.977,59","0,03","-42.468","-59,01","-1.605.363,67"
"ALLBATROSS ","0","1.138","0,00","-400","0","0,00","0,00","1.538","55.306,48","0,00","1.538","0,00","NaN"
"ALTERNATIF","2.066","2.399","76.979,16","0","0","0,00","0,00","2.399","86.268,04","0,00","333","16,12","9.288,88"
"ALNUS","389.353","304.789","14.507.292,13","2.963","-41.740","37,67","0,46","343.566","12.533.287,52","0,41","-45.787","-11,76","-1.974.004,60"
"ATA","634.189","504.878","23.629.881,08","49.603","-46.000","35,91","0,75","501.275","18.286.511,77","0,59","-132.914","-20,96","-5.343.369,31"
"AKTIF ","0","27.926","0,00","0","6","162,69","0,00","27.920","1.018.521,59","0,03","27.920","0,00","NaN"
"AHLATCI","84.061","40.501","3.132.112,72","0","1.159","37,22","0,10","39.342","1.435.196,14","0,05","-44.719","-53,20","-1.696.916,58"
"BULLS YATIRIM","2.761.695","2.727.301","102.900.751,06","13.386","247.333","37,03","3,27","2.466.582","89.980.910,23","2,92","-295.113","-10,69","-12.919.840,83"
"NEO MENKUL","3","3","111,78","0","0","0,00","0,00","3","107,88","0,00","0","0,00","-3,90"
"BIZIM","222","222","8.271,72","0","0","0,00","0,00","222","7.983,12","0,00","0","0,00","-288,60"
"CITIBANK YABANCI","34.706.438","35.206.550","1.293.161.821,63","0","0","0,00","41,07","35.206.550","1.266.027.505,77","41,66","500.112","1,44","-27.134.315,86"
"COLENDI","158.560","247","5.907.945,33","-20","-691","29,76","0,19","958","34.947,84","0,00","-157.602","-99,40","-5.872.997,49"
"DINAMIK","258","258","9.613,08","0","0","0,00","0,00","258","9.277,68","0,00","0","0,00","-335,40"
"DENIZ","2.673.000","2.911.528","99.595.975,51","51.097","99.430","37,27","3,16","2.761.001","100.721.315,22","3,27","88.001","3,29","1.125.339,70"
"BURGAN","9.406","24.931","350.467,54","17.697","0","0,00","0,01","7.234","260.134,63","0,01","-2.172","-23,09","-90.332,91"
"BTCTURK","33.124","36.367","1.234.200,18","5","-8.333","36,81","0,04","44.695","1.630.473,58","0,05","11.571","34,93","396.273,40"
"EMEKLILIK FONLARI","15.122","15.122","563.445,69","0","0","0,00","0,02","15.122","543.787,11","0,02","0","0,00","-19.658,59"
"FIBA","195.900","332.367","7.299.233,67","4.999","4.896","37,81","0,23","322.472","11.763.778,41","0,38","126.572","64,61","4.464.544,74"
"QNB YATIRIM","518.504","768.436","19.319.458,17","21.262","48.115","37,42","0,61","699.059","25.501.672,00","0,83","180.555","34,82","6.182.213,83"
"GCM","2.114","3.087","78.767,64","0","0","0,00","0,00","3.087","111.008,52","0,00","973","46,03","32.240,88"
"GEDIK","566.522","705.449","21.108.608,77","5.050","1.833","36,27","0,67","698.566","25.483.687,36","0,83","132.044","23,31","4.375.078,59"
"GLOBAL","75.322","83.573","2.806.497,59","-274","-3.205","36,51","0,09","87.052","3.175.656,92","0,10","11.730","15,57","369.159,33"
"ING","207.010","160.502","7.713.192,25","13.622","33.081","37,01","0,24","113.799","4.151.387,47","0,13","-93.211","-45,03","-3.561.804,78"
"GARANTI BBVA","2.741.280","2.972.368","102.140.088,20","-7.152","206.229","37,97","3,24","2.773.291","101.169.654,41","3,28","32.011","1,17","-970.433,79"
"HALK","1.501.123","1.570.504","55.931.840,46","-23.955","28.095","38,13","1,78","1.566.364","57.140.958,00","1,85","65.241","4,35","1.209.117,54"
"HSBC","12.940","28.002","482.144,38","3.000","5.000","37,61","0,02","20.002","729.672,95","0,02","7.062","54,57","247.528,57"
"INVEST AZ","35.340","77.987","1.316.768,34","0","10.875","35,51","0,04","67.112","2.448.245,73","0,08","31.772","89,90","1.131.477,39"
"ICBC TURKEY","100.009","95.002","3.726.335,17","0","0","0,00","0,12","95.002","3.416.271,83","0,11","-5.007","-5,01","-310.063,34"
"IKON","163.000","157.000","6.073.379,73","0","0","0,00","0,19","157.000","5.645.719,86","0,19","-6.000","-3,68","-427.659,87"
"INTEGRAL","2.038","8.169","75.935,88","0","4.471","36,88","0,00","3.698","134.903,04","0,00","1.660","81,45","58.967,16"
"INFO","1.113.243","894.563","41.479.432,31","-58.598","129.293","38,09","1,32","823.868","30.054.704,26","0,97","-289.375","-25,99","-11.424.728,05"
"IS","5.542.106","5.421.696","206.498.860,26","-230.998","-419.084","38,02","6,56","6.071.778","221.498.458,66","7,19","529.672","9,56","14.999.598,40"
"KUVEYT TURK","431.976","406.270","16.095.425,03","-18.294","-60.122","36,60","0,51","484.686","17.681.345,06","0,57","52.710","12,20","1.585.920,02"
"MIDAS","1.607.135","2.072.459","59.881.847,40","-18.081","119.426","39,23","1,90","1.971.114","71.906.237,82","2,33","363.979","22,65","12.024.390,42"
"BANK OF AMERICA","3.144.523","559.824","117.164.921,70","203.299","-983.614","37,42","3,72","1.340.139","48.888.270,11","1,59","-1.804.384","-57,38","-68.276.651,60"
"MARBAS","521.496","123.437","19.430.940,08","-2.384","13.296","37,95","0,62","112.525","4.104.911,95","0,13","-408.971","-78,42","-15.326.028,14"
"MEKSA","44.682","71.025","1.664.851,25","3.000","8.606","37,83","0,05","59.419","2.167.605,09","0,07","14.737","32,98","502.753,85"
"NCM INVESTMENT","601","601","22.393,26","0","0","0,00","0,00","601","21.611,96","0,00","0","0,00","-781,30"
"OSMANLI","967.857","1.000.296","36.062.350,20","7.274","-3.643","39,88","1,15","996.665","36.358.338,74","1,18","28.808","2,98","295.988,55"
"OYAK","895.184","954.988","33.354.554,34","-16.962","17.151","39,20","1,06","954.799","34.831.067,08","1,13","59.615","6,66","1.476.512,75"
"PHILLIP","341.939","471.725","12.740.646,57","13.389","53.388","36,88","0,40","404.948","14.772.502,85","0,48","63.009","18,43","2.031.856,29"
"PIRAMIT","0","1","0,00","0","0","0,00","0,00","1","35,96","0,00","1","0,00","NaN"
"SEKER","797.032","139.096","29.697.410,98","3.297","16.648","37,48","0,94","119.151","4.346.628,43","0,14","-677.881","-85,05","-25.350.782,56"
"TACIRLER","291.647","458.977","10.866.766,73","-3.018","7.515","43,21","0,35","454.480","16.579.430,19","0,54","162.833","55,83","5.712.663,46"
"TEB","377.909","653.693","14.080.888,71","143.442","51.968","38,33","0,45","458.283","16.718.163,63","0,54","80.374","21,27","2.637.274,92"
"TURK EKONOMI BANKASI","866.136","1.784.634","32.272.225,91","0","0","0,00","1,03","1.784.634","64.175.437,01","2,11","918.498","106,05","31.903.211,10"
"TURKISH","1.028","985","38.303,28","-150","0","0,00","0,00","1.135","40.814,60","0,00","107","10,41","2.511,32"
"TERA","110.004","231.560","4.098.748,86","-16.497","13.195","37,15","0,13","234.862","8.567.765,65","0,28","124.858","113,50","4.469.016,80"
"TRIVE","772.394","754.243","28.779.399,14","-6.638","190","36,14","0,91","760.691","27.750.007,33","0,90","-11.703","-1,52","-1.029.391,81"
"UNLU","277.607","-42.861","10.343.636,35","-58.059","-46.960","38,66","0,33","62.158","2.267.523,81","0,07","-215.449","-77,61","-8.076.112,54"
"VAKIF","3.906.359","4.353.617","145.550.929,78","80.988","159.841","36,93","4,62","4.112.788","150.034.504,36","4,87","206.429","5,28","4.483.574,57"
"YATIRIM FINANSMAN","1.379.402","1.687.301","51.396.516,20","557","-2.335","36,08","1,63","1.689.079","61.617.601,15","2,00","309.677","22,45","10.221.084,94"
"YATIRIM FONLARI","405.624","220.117","15.113.549,56","0","0","0,00","0,48","220.117","7.915.407,12","0,26","-185.507","-45,73","-7.198.142,44"
