"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"DEUTSCHE BANK (YABANCI)","1.650","833","29.489,08","0","0","0,00","0,00","833","22.079,80","0,00","-817","-49,51","-7.409,28"
"DINAMIK","182","788.584","3.259,49","0","0","0,00","0,00","788.584","20.897.486,60","1,93","788.402","432.237,94","20.894.227,11"
"DENIZ","575.714","1.378.386","10.288.002,52","-9.289","19.072","26,72","1,41","1.368.603","36.267.984,80","3,35","792.890","137,72","25.979.982,28"
"BURGAN","16.969","64.692","303.239,62","201","21","26,47","0,04","64.470","1.708.460,30","0,16","47.501","279,92","1.405.220,68"
"BTCTURK","0","12.709","0,00","376","1.415","27,28","0,00","10.918","289.327,00","0,03","10.918","0,00","NaN"
"QNB YATIRIM","559.691","1.211.016","10.001.682,21","-8.301","-19.841","26,89","1,37","1.239.158","32.837.676,40","3,04","679.466","121,40","22.835.994,19"
"GCM","97","7.182","1.729,82","687","4","10,35","0,00","6.491","172.006,20","0,02","6.394","6.605,37","170.276,38"
"GEDIK","604.475","514.437","10.801.975,91","27.465","1.202","25,79","1,48","485.770","12.872.915,60","1,19","-118.705","-19,64","2.070.939,69"
"GLOBAL","257.695","142.544","4.605.017,01","28.439","-11.413","27,34","0,63","125.518","3.326.227,00","0,31","-132.177","-51,29","-1.278.790,01"
"ING","45.980","146.188","821.669,79","194","-4.317","26,46","0,11","150.311","3.983.252,10","0,37","104.331","226,90","3.161.582,31"
"GARANTI BBVA","2.464.410","4.569.638","44.039.015,92","-19.088","-28.314","26,92","6,04","4.617.040","122.351.554,70","11,32","2.152.629","87,35","78.312.538,78"
"HALK","14.082.947","2.263.351","251.662.274,71","-45.945","-7.983","26,22","34,52","2.317.279","61.407.893,50","5,68","-11.765.668","-83,55","-190.254.381,21"
"HSBC","118.490","85.384","2.117.419,97","23","12.600","27,23","0,29","72.761","1.928.166,50","0,18","-45.729","-38,59","-189.253,47"
"INVEST AZ","10.178","46.521","181.888,02","1.453","-2.000","26,50","0,02","47.068","1.247.312,60","0,12","36.890","362,43","1.065.424,58"
"ICBC TURKEY","8.477","257.227","151.480,42","3.295","10.000","26,50","0,02","243.932","6.464.192,70","0,60","235.455","2.777,64","6.312.712,28"
"INTEGRAL","14.999","39.418","268.035,72","22","-1.256","27,17","0,04","40.652","1.077.283,30","0,10","25.653","171,03","809.247,58"
"INFO","681.883","926.909","12.185.253,36","7.397","-25.287","26,96","1,67","944.799","25.037.178,80","2,32","262.916","38,56","12.851.925,44"
"IS","4.739.307","5.384.876","84.691.423,64","12.340","-15.155","26,69","11,62","5.387.691","142.773.800,90","13,21","648.383","13,68","58.082.377,26"
"MIDAS","120.275","530.655","2.149.321,50","1.351","-25.104","27,04","0,29","554.408","14.691.806,70","1,36","434.132","360,95","12.542.485,20"
"BANK OF AMERICA","0","-91.239","0,00","-117.630","26.391","27,15","0,00","0","0,00","0,00","0","0,00","NaN"
"MARBAS","107.946","207.583","1.928.987,96","-1.925","146","33,61","0,26","209.362","5.548.082,40","0,51","101.416","93,95","3.619.094,44"
"MEKSA","44.771","82.743","800.057,81","27.940","62","21,65","0,11","54.741","1.450.636,50","0,13","9.970","22,27","650.578,69"
"NCM INVESTMENT","3.943","12.155","70.461,41","7","4","26,74","0,01","12.144","321.816,00","0,03","8.201","207,99","251.354,59"
"OSMANLI","1.046.272","889.776","18.696.874,37","-1.657","-1.920","26,67","2,56","893.353","23.673.859,80","2,19","-152.918","-14,62","4.976.985,43"
"OYAK","950.792","1.354.445","16.990.653,84","-4.858","15.944","26,98","2,33","1.343.359","35.599.002,90","3,29","392.567","41,29","18.608.349,06"
"PHILLIP","246.991","399.495","4.413.725,80","42.879","-13.492","27,11","0,61","370.108","9.807.862,00","0,91","123.117","49,85","5.394.136,20"
"PIRAMIT","2.089","1.789","37.334,01","0","0","0,00","0,01","1.789","47.413,80","0,00","-300","-14,36","10.079,79"
"PAPARA ","0","4.500","0,00","0","0","0,00","0,00","4.500","119.250,00","0,01","4.500","0,00","NaN"
"SEKER","188.880","72.612","3.375.282,18","-2.104","-1.249","26,70","0,46","75.965","2.013.067,20","0,19","-112.915","-59,78","-1.362.214,98"
"STRATEJI","0","663","0,00","0","0","0,00","0,00","663","17.569,50","0,00","663","0,00","NaN"
"TACIRLER","591.491","324.179","10.569.948,24","16.587","-14.919","27,17","1,45","322.511","8.546.530,90","0,79","-268.981","-45,47","-2.023.417,34"
"TEB","490.891","1.354.387","8.772.226,16","28.936","6.565","26,00","1,20","1.318.886","34.950.473,70","3,23","827.995","168,67","26.178.247,54"
"TURK EKONOMI BANKASI","5.886","1","105.175,68","0","0","0,00","0,01","1","15,90","0,00","-5.885","-99,99","-105.159,78"
"IS BANKASI","2","527.393","28,59","0","0","0,00","0,00","527.393","13.975.914,50","1,29","527.391","32.961.962,50","13.975.885,91"
"TURKISH","0","250","0,00","0","0","0,00","0,00","250","6.625,00","0,00","250","0,00","NaN"
"TERA","0","1.833","0,00","95","-25","27,57","0,00","1.763","46.719,50","0,00","1.763","0,00","NaN"
"TRIVE","43.177","381.194","771.565,88","53.350","-4.943","27,39","0,11","332.787","8.818.850,20","0,82","289.610","670,76","8.047.284,32"
"UNLU","16.771","26.955","299.704,93","600","110","26,64","0,04","26.245","695.503,10","0,06","9.474","56,49","395.798,17"
"VAKIF","2.024.965","4.077.225","36.186.122,68","-23.863","15.896","27,06","4,96","4.085.192","108.257.588,53","10,01","2.060.227","101,74","72.071.465,85"
"YATIRIM FINANSMAN","505.757","130.665","9.037.870,87","253","-76","31,43","1,24","130.488","3.457.921,40","0,32","-375.269","-74,20","-5.579.949,47"
"YATIRIM FONLARI","829.000","187.917","14.814.230,70","0","0","0,00","2,03","187.917","4.979.800,50","0,46","-641.083","-77,33","-9.834.430,20"
"YAPI KREDI","2.332.845","3.081.919","41.687.949,26","1.152","58.360","27,10","5,72","3.022.407","80.093.780,20","7,41","689.561","29,56","38.405.830,94"
"ZIRAAT","1.947.594","3.819.684","34.803.499,27","9.761","15.599","26,93","4,77","3.794.324","100.549.585,20","9,30","1.846.730","94,82","65.746.085,94"
"TOPLAM FARK","6.678","7.595","119.335,87","0","0","","0,02","7.595","201.267,76","0,02","917","13,73","81.931,90"
