"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","17.925","22.212","320.319,77","115","0","0,00","0,04","22.097","585.570,50","0,05","4.172","23,27","265.250,73"
"A1 CAPITAL","313.890","287.369","5.609.214,56","-24.670","25.160","26,83","0,77","286.879","7.602.282,90","0,70","-27.011","-8,61","1.993.068,34"
"ANADOLU","47.399","29.819","847.013,02","213","4","27,24","0,12","29.602","784.442,40","0,07","-17.797","-37,55","-62.570,62"
"AK","3.017.754","2.601.434","53.927.266,33","4.507","-24.872","26,60","7,40","2.621.799","69.477.683,84","6,43","-395.955","-13,12","15.550.417,50"
"PUSULA YAT.","88.491","40.941","1.581.327,10","-50","-186","27,17","0,22","41.177","1.091.201,10","0,10","-47.313","-53,47","-490.126,00"
"ALTERNATIF","219","20.366","3.909,96","580","0","0,00","0,00","19.786","524.323,70","0,05","19.567","8.942,87","520.413,74"
"ALNUS","66.502","26.987","1.188.387,22","-13.605","1.124","26,91","0,16","39.468","1.045.896,70","0,10","-27.034","-40,65","-142.490,52"
"ATA","98.689","384.008","1.763.565,36","1.388","-94","82,44","0,24","382.714","10.141.926,30","0,94","284.026","287,80","8.378.360,94"
"AHLATCI","1.041.532","402.755","18.612.174,14","481","-9.955","27,26","2,55","412.229","10.924.063,20","1,01","-629.303","-60,42","-7.688.110,94"
"BULLS YATIRIM","8.648","20.926","154.539,77","135","17","26,99","0,02","20.774","550.511,00","0,05","12.126","140,22","395.971,23"
"BIZIM","81.424","44.332","1.455.043,37","763","2.705","26,41","0,20","40.864","1.082.890,70","0,10","-40.560","-49,81","-372.152,67"
"CITIBANK YABANCI","327.367","1.692.040","5.850.052,14","0","0","0,00","0,80","1.692.040","44.839.065,30","4,15","1.364.673","416,86","38.989.013,16"
"COLENDI","0","543","0,00","0","0","0,00","0,00","543","14.389,50","0,00","543","0,00","NaN"
