"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","0","14.109","0,00","0","11.400","37,19","0,00","2.709","98.824,32","0,00","2.709","0,00","NaN"
"A1 CAPITAL","0","1.455.879","0,00","19.222","96.300","37,25","0,00","1.340.357","48.896.222,75","1,59","1.340.357","0,00","NaN"
"ANADOLU","0","2.934","0,00","0","0","0,00","0,00","2.934","105.506,64","0,00","2.934","0,00","NaN"
"AK","0","4.062.257","0,00","-88.996","110.361","37,17","0,00","4.040.892","147.411.738,31","4,78","4.040.892","0,00","NaN"
"PUSULA YAT.","0","25.546","0,00","-7.200","3.251","37,44","0,00","29.495","1.075.977,59","0,03","29.495","0,00","NaN"
"ALLBATROSS ","0","1.138","0,00","-400","0","0,00","0,00","1.538","55.306,48","0,00","1.538","0,00","NaN"
"ALTERNATIF","0","2.399","0,00","0","0","0,00","0,00","2.399","86.268,04","0,00","2.399","0,00","NaN"
"ALNUS","0","304.789","0,00","2.963","-41.740","37,67","0,00","343.566","12.533.287,52","0,41","343.566","0,00","NaN"
"ATA","0","504.878","0,00","49.603","-46.000","35,91","0,00","501.275","18.286.511,77","0,59","501.275","0,00","NaN"
"AKTIF ","0","27.926","0,00","0","6","162,69","0,00","27.920","1.018.521,59","0,03","27.920","0,00","NaN"
"AHLATCI","0","40.501","0,00","0","1.159","37,22","0,00","39.342","1.435.196,14","0,05","39.342","0,00","NaN"
"BULLS YATIRIM","0","2.727.301","0,00","13.386","247.333","37,03","0,00","2.466.582","89.980.910,23","2,92","2.466.582","0,00","NaN"
"NEO MENKUL","0","3","0,00","0","0","0,00","0,00","3","107,88","0,00","3","0,00","NaN"
"BIZIM","0","222","0,00","0","0","0,00","0,00","222","7.983,12","0,00","222","0,00","NaN"
"CITIBANK YABANCI","0","35.206.550","0,00","0","0","0,00","0,00","35.206.550","1.266.027.505,77","41,66","35.206.550","0,00","NaN"
"COLENDI","0","247","0,00","-20","-691","29,76","0,00","958","34.947,84","0,00","958","0,00","NaN"
"DINAMIK","0","258","0,00","0","0","0,00","0,00","258","9.277,68","0,00","258","0,00","NaN"
"DENIZ","0","2.911.528","0,00","51.097","99.430","37,27","0,00","2.761.001","100.721.315,22","3,27","2.761.001","0,00","NaN"
"BURGAN","0","24.931","0,00","17.697","0","0,00","0,00","7.234","260.134,63","0,01","7.234","0,00","NaN"
"BTCTURK","0","36.367","0,00","5","-8.333","36,81","0,00","44.695","1.630.473,58","0,05","44.695","0,00","NaN"
"EMEKLILIK FONLARI","0","15.122","0,00","0","0","0,00","0,00","15.122","543.787,11","0,02","15.122","0,00","NaN"
"FIBA","0","332.367","0,00","4.999","4.896","37,81","0,00","322.472","11.763.778,41","0,38","322.472","0,00","NaN"
"QNB YATIRIM","0","768.436","0,00","21.262","48.115","37,42","0,00","699.059","25.501.672,00","0,83","699.059","0,00","NaN"
"GCM","0","3.087","0,00","0","0","0,00","0,00","3.087","111.008,52","0,00","3.087","0,00","NaN"
"GEDIK","0","705.449","0,00","5.050","1.833","36,27","0,00","698.566","25.483.687,36","0,83","698.566","0,00","NaN"
"GLOBAL","0","83.573","0,00","-274","-3.205","36,51","0,00","87.052","3.175.656,92","0,10","87.052","0,00","NaN"
"ING","0","160.502","0,00","13.622","33.081","37,01","0,00","113.799","4.151.387,47","0,13","113.799","0,00","NaN"
"GARANTI BBVA","0","2.972.368","0,00","-7.152","206.229","37,97","0,00","2.773.291","101.169.654,41","3,28","2.773.291","0,00","NaN"
"HALK","0","1.570.504","0,00","-23.955","28.095","38,13","0,00","1.566.364","57.140.958,00","1,85","1.566.364","0,00","NaN"
"HSBC","0","28.002","0,00","3.000","5.000","37,61","0,00","20.002","729.672,95","0,02","20.002","0,00","NaN"
"INVEST AZ","0","77.987","0,00","0","10.875","35,51","0,00","67.112","2.448.245,73","0,08","67.112","0,00","NaN"
"ICBC TURKEY","0","95.002","0,00","0","0","0,00","0,00","95.002","3.416.271,83","0,11","95.002","0,00","NaN"
"IKON","0","157.000","0,00","0","0","0,00","0,00","157.000","5.645.719,86","0,19","157.000","0,00","NaN"
"INTEGRAL","0","8.169","0,00","0","4.471","36,88","0,00","3.698","134.903,04","0,00","3.698","0,00","NaN"
"INFO","0","894.563","0,00","-58.598","129.293","38,09","0,00","823.868","30.054.704,26","0,97","823.868","0,00","NaN"
"IS","0","5.421.696","0,00","-230.998","-419.084","38,02","0,00","6.071.778","221.498.458,66","7,19","6.071.778","0,00","NaN"
"KUVEYT TURK","0","406.270","0,00","-18.294","-60.122","36,60","0,00","484.686","17.681.345,06","0,57","484.686","0,00","NaN"
"MIDAS","0","2.072.459","0,00","-18.081","119.426","39,23","0,00","1.971.114","71.906.237,82","2,33","1.971.114","0,00","NaN"
"BANK OF AMERICA","0","559.824","0,00","203.299","-983.614","37,42","0,00","1.340.139","48.888.270,11","1,59","1.340.139","0,00","NaN"
"MARBAS","0","123.437","0,00","-2.384","13.296","37,95","0,00","112.525","4.104.911,95","0,13","112.525","0,00","NaN"
"MEKSA","0","71.025","0,00","3.000","8.606","37,83","0,00","59.419","2.167.605,09","0,07","59.419","0,00","NaN"
"NCM INVESTMENT","0","601","0,00","0","0","0,00","0,00","601","21.611,96","0,00","601","0,00","NaN"
"OSMANLI","0","1.000.296","0,00","7.274","-3.643","39,88","0,00","996.665","36.358.338,74","1,18","996.665","0,00","NaN"
"OYAK","0","954.988","0,00","-16.962","17.151","39,20","0,00","954.799","34.831.067,08","1,13","954.799","0,00","NaN"
"PHILLIP","0","471.725","0,00","13.389","53.388","36,88","0,00","404.948","14.772.502,85","0,48","404.948","0,00","NaN"
"PIRAMIT","0","1","0,00","0","0","0,00","0,00","1","35,96","0,00","1","0,00","NaN"
"SEKER","0","139.096","0,00","3.297","16.648","37,48","0,00","119.151","4.346.628,43","0,14","119.151","0,00","NaN"
"TACIRLER","0","458.977","0,00","-3.018","7.515","43,21","0,00","454.480","16.579.430,19","0,54","454.480","0,00","NaN"
"TEB","0","653.693","0,00","143.442","51.968","38,33","0,00","458.283","16.718.163,63","0,54","458.283","0,00","NaN"
"TURK EKONOMI BANKASI","0","1.784.634","0,00","0","0","0,00","0,00","1.784.634","64.175.437,01","2,11","1.784.634","0,00","NaN"
"TURKISH","0","985","0,00","-150","0","0,00","0,00","1.135","40.814,60","0,00","1.135","0,00","NaN"
"TERA","0","231.560","0,00","-16.497","13.195","37,15","0,00","234.862","8.567.765,65","0,28","234.862","0,00","NaN"
"TRIVE","0","754.243","0,00","-6.638","190","36,14","0,00","760.691","27.750.007,33","0,90","760.691","0,00","NaN"
"UNLU","0","-42.861","0,00","-58.059","-46.960","38,66","0,00","62.158","2.267.523,81","0,07","62.158","0,00","NaN"
"VAKIF","0","4.353.617","0,00","80.988","159.841","36,93","0,00","4.112.788","150.034.504,36","4,87","4.112.788","0,00","NaN"
"YATIRIM FINANSMAN","0","1.687.301","0,00","557","-2.335","36,08","0,00","1.689.079","61.617.601,15","2,00","1.689.079","0,00","NaN"
"YATIRIM FONLARI","0","220.117","0,00","0","0","0,00","0,00","220.117","7.915.407,12","0,26","220.117","0,00","NaN"
"YAPI KREDI","0","4.600.926","0,00","-52.158","75.091","36,88","0,00","4.577.993","167.005.182,54","5,42","4.577.993","0,00","NaN"
"ZIRAAT","0","3.343.495","0,00","-47.318","38.284","36,60","0,00","3.352.529","122.300.256,39","3,97","3.352.529","0,00","NaN"
"TOPLAM FARK","0","10.001","0,00","0","0","0,00","0,00","10.001","364.836,48","0,01","10.001","0,00","NaN"
