"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"BULLS YATIRIM","251.052","369.473","25.933.622,78","0","117.649","129,46","0,01","251.824","32.585.961,95","0,01","772","0,31","6.652.339,17"
"NEO MENKUL","5.821","1.101","601.309,32","0","0","0,00","0,00","1.101","142.469,39","0,00","-4.720","-81,09","-458.839,92"
"BIZIM","44.946","29.332","4.642.928,14","0","0","0,00","0,00","29.332","3.795.568,38","0,00","-15.614","-34,74","-847.359,75"
"BASKENT","9","9","931,77","0","0","0,00","0,00","9","1.167,19","0,00","0","0,00","235,42"
"BIRLESIK FON BANKASI","200","200","20.608,35","0","0","0,00","0,00","200","25.815,30","0,00","0","0,00","5.206,95"
"CITIBANK YABANCI","165.642.844","115.326.295","17.110.906.308,26","0","0","0,00","6,75","115.326.295","14.923.221.891,10","4,70","-50.316.549","-30,38","-2.187.684.417,16"
"COLENDI","2.511","322.398","259.386,31","0","23.984","130,26","0,00","298.414","38.614.769,78","0,01","295.903","11.784,27","38.355.383,47"
"CEROS","2","2","239,66","0","0","0,00","0,00","2","300,21","0,00","0","0,00","60,55"
"CENSA","41","41","4.239,43","0","0","0,00","0,00","41","5.310,58","0,00","0","0,00","1.071,14"
"DEUTSCHE BANK (YABANCI)","34.924.782","24.616.039","3.607.730.080,98","0","0","0,00","1,42","24.616.039","3.185.315.288,59","1,00","-10.308.743","-29,52","-422.414.792,39"
"DELTA","23","23","2.386,23","0","0","0,00","0,00","23","2.989,14","0,00","0","0,00","602,91"
"DEHA","5","5","507,20","0","0","0,00","0,00","5","635,35","0,00","0","0,00","128,15"
"DESTEK","2","511.997","206,60","0","-8.000","153,51","0,00","519.997","67.287.608,63","0,02","519.995","25.999.750,00","67.287.402,03"
"DINAMIK","8.756","10.395","904.510,32","0","-142","131,17","0,00","10.537","1.363.507,15","0,00","1.781","20,34","458.996,82"
"DENIZBANK","210.021","176.600","21.695.169,94","0","0","0,00","0,01","176.600","22.852.038,92","0,01","-33.421","-15,91","1.156.868,98"
"DENIZ","7.810.404","9.359.284","806.814.760,13","0","-73.209","138,17","0,32","9.432.493","1.220.564.523,69","0,38","1.622.089","20,77","413.749.763,55"
"BURGAN","676.154","656.626","69.846.719,56","0","25.378","130,30","0,03","631.248","81.683.498,99","0,03","-44.906","-6,64","11.836.779,43"
"EKSPRES MENKUL","10","10","1.000,98","0","0","0,00","0,00","10","1.252,59","0,00","0","0,10","251,61"
"BTCTURK","70.991","69.775","7.333.370,52","0","6.737","130,79","0,00","63.038","8.157.116,82","0,00","-7.953","-11,20","823.746,30"
"EMEKLILIK FONLARI","79.611.334","79.962.746","8.223.851.045,15","0","0","0,00","3,24","79.962.746","10.347.178.844,35","3,26","351.412","0,44","2.123.327.799,19"
"ENDEKS MENKUL","246","246","25.360,15","0","0","0,00","0,00","246","31.767,70","0,00","0","0,00","6.407,55"
"EURO FINANS ","0","10.272","0,00","0","0","0,00","0,00","10.272","1.329.213,56","0,00","10.272","0,00","NaN"
"ERCIYES MENKUL","0","0","3,10","0","0","0,00","0,00","0","3,88","0,00","0","0,00","0,78"
"FIBA","0","771.280","0,00","0","78.114","130,50","0,00","693.166","89.695.676,17","0,03","693.166","0,00","NaN"
"QNB YATIRIM","6.625.586","6.052.569","684.423.015,80","0","-90.894","129,04","0,27","6.143.463","794.964.060,47","0,25","-482.123","-7,28","110.541.044,67"
"GCM","136.553","4.810","14.105.925,32","0","1.209","130,96","0,01","3.601","465.969,38","0,00","-132.952","-97,36","-13.639.955,94"
"GEDIK","1.676.039","1.869.717","173.134.800,76","0","34.792","131,24","0,07","1.834.925","237.439.279,92","0,07","158.886","9,48","64.304.479,16"
"GLOBAL","1.017.173","1.379.788","105.073.971,94","0","746.424","130,18","0,04","633.364","81.957.287,38","0,03","-383.809","-37,73","-23.116.684,56"
"GALATA","0","0","1,03","0","0","0,00","0,00","0","1,29","0,00","0","0,00","0,26"
"GUNEY","448","448","46.278,40","0","0","0,00","0,00","448","57.971,20","0,00","0","0,00","11.692,80"
"ING","989.697","1.207.862","102.235.694,86","0","57.364","131,05","0,04","1.150.498","148.874.423,83","0,05","160.801","16,25","46.638.728,97"
"GARANTI BBVA","29.384.495","27.842.585","3.035.418.403,55","0","811.279","130,91","1,20","27.031.306","3.497.850.812,00","1,10","-2.353.189","-8,01","462.432.408,46"
"GUVEN","0","0","19,63","0","0","0,00","0,00","0","24,59","0,00","0","0,00","4,96"
"HALK","3.508.520","3.844.117","362.430.076,09","0","-193.286","130,09","0,14","4.037.403","522.439.891,21","0,16","528.883","15,07","160.009.815,12"
"HSBC","1.881.889","806.126","194.399.123,95","0","-1.133.299","129,49","0,08","1.939.425","250.961.553,40","0,08","57.536","3,06","56.562.429,45"
"INVEST AZ","38.565","253.514","3.983.712,97","0","9.183","134,61","0,00","244.331","31.616.365,21","0,01","205.766","533,56","27.632.652,24"
"ICBC BANK","440","427","45.502,62","0","0","0,00","0,00","427","55.266,74","0,00","-13","-3,04","9.764,12"
"ICBC TURKEY","680.671","386.066","70.313.333,94","0","5.737","130,98","0,03","380.329","49.214.585,81","0,02","-300.342","-44,12","-21.098.748,13"
"IKON","0","7.967","0,00","0","-700","131,30","0,00","8.667","1.121.509,75","0,00","8.667","0,00","NaN"
"INTEGRAL","97.742","115.238","10.096.732,37","0","2.636","54,87","0,00","112.602","14.570.677,41","0,00","14.860","15,20","4.473.945,04"
"INFO","1.356.804","1.172.600","140.157.861,47","0","49.727","119,31","0,06","1.122.873","145.299.764,52","0,05","-233.931","-17,24","5.141.903,05"
"IS","29.086.689","29.387.531","3.004.655.022,18","0","470.379","130,45","1,18","28.917.152","3.741.879.311,71","1,18","-169.536","-0,58","737.224.289,54"
"KARE","23","23","2.377,97","0","0","0,00","0,00","23","2.978,79","0,00","0","0,00","600,82"
"KUVEYT TURK","41.406","44.569","4.277.279,18","0","0","0,00","0,00","44.569","5.767.277,50","0,00","3.163","7,64","1.489.998,32"
"MIDAS","1.086.421","2.923.329","112.227.320,51","0","317.531","131,09","0,04","2.605.798","337.190.223,30","0,11","1.519.377","139,85","224.962.902,79"
"BANK OF AMERICA","4.340.204","19.797.545","448.343.086,45","0","-183.081","139,84","0,18","19.980.626","2.585.492.882,45","0,81","15.640.422","360,36","2.137.149.796,00"
"MARBAS","217.178","285.342","22.434.503,56","0","-38.546","130,86","0,01","323.888","41.911.124,63","0,01","106.710","49,13","19.476.621,08"
"MERKEZ MENKUL","8","8","836,73","0","0","0,00","0,00","8","1.048,14","0,00","0","0,00","211,41"
"MEKSA","181.628","199.376","18.762.138,87","0","-18.940","128,72","0,01","218.316","28.250.046,37","0,01","36.688","20,20","9.487.907,50"
"METRO","1.002","1.002","103.521,07","0","0","0,00","0,00","1.002","129.676,91","0,00","0","0,00","26.155,84"
"NCM INVESTMENT","92.854","90.429","9.591.766,83","0","600","129,73","0,00","89.829","11.623.807,35","0,00","-3.025","-3,26","2.032.040,52"
"NUROL MENKUL","10","10","1.058,83","0","0","0,00","0,00","10","1.326,35","0,00","0","0,00","267,52"
"OSMANLI","1.092.848","2.087.849","112.891.216,20","0","481.534","130,81","0,04","1.606.315","207.857.169,31","0,07","513.467","46,98","94.965.953,11"
"ONER MENKUL","248","248","25.649,39","0","0","0,00","0,00","248","32.130,02","0,00","0","0,00","6.480,63"
"OYAK","4.343.899","2.973.038","448.724.791,32","0","141.692","131,31","0,18","2.831.346","366.376.186,17","0,12","-1.512.553","-34,82","-82.348.605,14"
"PHILLIP","673.539","650.049","69.576.534,27","0","63.318","128,67","0,03","586.731","75.923.036,99","0,02","-86.807","-12,89","6.346.502,72"
"PIRAMIT","24.734","51.530","2.555.043,97","0","-3.401","165,14","0,00","54.931","7.108.098,24","0,00","30.197","122,09","4.553.054,27"
"PRIM","8","8","797,48","0","0","0,00","0,00","8","998,97","0,00","0","0,00","201,49"
"PAPARA ","2.561","6","264.593,66","0","0","0,00","0,00","6","776,40","0,00","-2.555","-99,77","-263.817,26"
"ROYAL BANK OF SCOTLAND","1","1","51,65","0","0","0,00","0,00","1","64,70","0,00","0","0,00","13,05"
"RENAISSANCE CAPITAL","1","1","114,66","0","0","0,00","0,00","1","143,63","0,00","0","0,00","28,97"
"RAYMOND JAMES","4.432","4.432","457.824,58","0","0","0,00","0,00","4.432","573.499,48","0,00","0","0,00","115.674,90"
"SAXO CAPITAL","38","38","3.976,02","0","0","0,00","0,00","38","4.980,61","0,00","0","0,00","1.004,59"
"SEKER","978.211","803.110","101.049.185,86","0","22.875","130,30","0,04","780.235","100.962.445,65","0,03","-197.976","-20,24","-86.740,21"
"SOYMEN MENKUL","18","18","1.829,44","0","0","0,00","0,00","18","2.291,67","0,00","0","0,00","462,23"
"STRATEJI","161.994","290.591","16.733.948,67","0","0","0,00","0,01","290.591","37.602.433,51","0,01","128.597","79,38","20.868.484,84"
"TACIRLER","1.054.351","575.905","108.914.428,46","0","-197.036","132,78","0,04","772.941","100.018.555,51","0,03","-281.410","-26,69","-8.895.872,96"
"TEB","5.998.705","4.598.323","619.666.220,01","0","197.617","131,29","0,24","4.400.706","569.451.284,25","0,18","-1.597.999","-26,64","-50.214.935,76"
"ZIRAAT BANKASI","221.460","920.664","22.876.818,68","0","0","0,00","0,01","920.664","119.133.915,98","0,04","699.204","315,72","96.257.097,30"
"TURK EKONOMI BANKASI","9.258.385","54.739.006","956.391.233,88","0","0","0,00","0,38","54.739.006","7.083.227.086,30","2,23","45.480.621","491,24","6.126.835.852,42"
"TFG ISTANBUL","32","31","3.319,03","0","0","0,00","0,00","31","3.998,46","0,00","-1","-3,83","679,43"
"GARANTI BANKASI","1.866.283.016","1.866.115.600","192.787.041.265,80","0","0","0,00","76,02","1.866.115.600","241.475.347.257,90","76,01","-167.416","-0,01","48.688.305.992,09"
"IS BANKASI","7.392.542","7.559.987","763.649.657,65","0","0","0,00","0,30","7.559.987","978.262.239,31","0,31","167.444","2,27","214.612.581,66"
"TAKSIM","2","2","192,14","0","0","0,00","0,00","2","231,63","0,00","0","3,76","39,49"
"TURKISH","116.031","147.296","11.985.958,24","0","7.904","131,98","0,00","139.392","18.037.268,31","0,01","23.361","20,13","6.051.310,07"
"TOROS","5.736","126","592.577,37","0","0","0,00","0,00","126","16.272,05","0,00","-5.611","-97,81","-576.305,32"
"TERA","2.834.925","-1.084.670","292.847.778,71","0","-1.159.771","129,87","0,12","75.101","9.718.100,00","0,00","-2.759.824","-97,35","-283.129.678,71"
"SINAI KALKINMA BANKASI","6","6","570,22","0","0","0,00","0,00","6","714,29","0,00","0","0,00","144,07"
"TRIVE","196.930","353.665","20.342.879,93","0","116.060","130,22","0,01","237.605","30.746.128,25","0,01","40.675","20,65","10.403.248,32"
"UNLU","1.664.829","537.598","171.976.815,99","0","1.732","130,02","0,07","535.866","69.341.026,07","0,02","-1.128.963","-67,81","-102.635.789,92"
"VAKIF","5.949.696","7.024.498","614.603.566,41","0","643.765","130,16","0,24","6.380.733","825.666.746,56","0,26","431.037","7,24","211.063.180,15"
"YATIRIM FINANSMAN","3.356.109","4.595.343","346.686.034,82","0","364.566","129,05","0,14","4.230.777","547.462.569,74","0,17","874.669","26,06","200.776.534,92"
"YATIRIM FONLARI","123.850.340","127.953.526","12.793.740.500,99","0","0","0,00","5,04","127.953.526","16.557.185.484,73","5,21","4.103.186","3,31","3.763.444.983,73"
"YATIRIM ORTAKLIKLARI","561.404","13.500","57.993.034,91","0","0","0,00","0,02","13.500","1.746.899,92","0,00","-547.904","-97,60","-56.246.135,00"
"YAPI KREDI BANKASI","19.576","19.518","2.022.168,84","0","0","0,00","0,00","19.518","2.525.601,91","0,00","-58","-0,30","503.433,07"
"YAPI KREDI","17.170.683","14.280.997","1.773.731.646,59","0","82.580","150,30","0,70","14.198.417","1.837.275.104,20","0,58","-2.972.266","-17,31","63.543.457,61"
"YATIRIMCI TAZMIN MERKEZI","13.970","24.218","1.443.093,81","0","0","0,00","0,00","24.218","3.133.766,35","0,00","10.248","73,36","1.690.672,54"
"ZIRAAT","5.611.324","6.054.601","579.649.780,13","0","557.768","128,54","0,23","5.496.833","711.290.126,89","0,22","-114.491","-2,04","131.640.346,76"
"TOPLAM FARK","5.761.750","7.214.693","595.188.815,31","0","0","","0,23","7.214.693","933.581.243,10","0,29","1.452.943","25,22","338.392.427,80"
