"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","53.985","75.154","5.576.698,18","0","11.711","131,95","0,00","63.443","8.209.583,34","0,00","9.458","17,52","2.632.885,15"
"A1 CAPITAL","2.390.421","1.174.243","246.930.467,67","0","25.495","137,72","0,10","1.148.748","148.647.980,31","0,05","-1.241.673","-51,94","-98.282.487,36"
"ANADOLU","220.703","263.885","22.798.620,57","0","1.125","129,73","0,01","262.760","34.001.090,64","0,01","42.057","19,06","11.202.470,06"
"AKBANK","72","41","7.476,85","0","0","0,00","0,00","41","5.346,81","0,00","-31","-42,91","-2.130,05"
"AKDENIZ MENKUL","8","8","839,83","0","0","0,00","0,00","8","1.052,02","0,00","0","0,00","212,19"
"AK","14.250.677","13.576.371","1.472.094.963,13","0","-2.383.128","129,96","0,58","15.959.499","2.065.159.135,30","0,65","1.708.823","11,99","593.064.172,18"
"ALFA MENKUL","1.693","1.693","174.874,51","0","0","0,00","0,00","1.693","219.058,66","0,00","0","0,00","44.184,15"
"PUSULA YAT.","72.578","85.272","7.497.268,37","0","21.581","132,28","0,00","63.691","8.241.565,84","0,00","-8.887","-12,24","744.297,47"
"ALAN","2.026","2.026","209.246,55","0","0","0,00","0,00","2.026","262.115,22","0,00","0","0,00","52.868,66"
"ALLBATROSS ","27.980","5.382","2.890.334,09","0","10","131,00","0,00","5.372","695.136,77","0,00","-22.608","-80,80","-2.195.197,32"
"ALTERNATIF","202.327","308.781","20.900.413,81","0","-3.223","131,11","0,01","312.004","40.373.358,40","0,01","109.677","54,21","19.472.944,59"
"ALNUS","206.765","77.560","21.358.784,84","0","39","745,04","0,01","77.521","10.031.166,46","0,00","-129.244","-62,51","-11.327.618,38"
"AKBANK (PORTFOY SAKLAMA)","0","45.000","0,00","0","0","0,00","0,00","45.000","5.822.999,73","0,00","45.000","0,00","NaN"
"ATA","1.072.519","804.011","110.791.265,56","0","6.657","125,62","0,04","797.354","103.177.664,85","0,03","-275.165","-25,66","-7.613.600,71"
"AKTIF ","0","-5","0,00","0","-14","129,48","0,00","9","1.164,60","0,00","9","0,00","NaN"
"AHLATCI","148.506","165.872","15.340.639,26","0","-20.082","138,22","0,01","185.954","24.062.407,65","0,01","37.448","25,22","8.721.768,38"
"B.A.B. MENKUL","576","7","59.502,87","0","0","0,00","0,00","7","841,10","0,00","-570","-98,87","-58.661,77"
