"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ICBC TURKEY","1.438.638","10.682.382","4.128.889,69","-22.473","0","0,00","0,10","10.704.855","18.840.545,51","0,73","9.266.218","644,10","14.711.655,82"
"IKON","0","12","0,00","0","0","0,00","0,00","12","21,12","0,00","12","0,00","NaN"
"INTEGRAL","82.287","236.653","236.162,65","0","196","1,74","0,01","236.457","416.164,49","0,02","154.170","187,36","180.001,85"
"INFO","44.123.077","221.745.847","126.633.227,17","999.868","-303.623","1,76","2,99","221.049.602","389.047.296,92","14,98","176.926.524","400,98","262.414.069,74"
"IS","49.121.777","161.878.744","140.979.495,23","-3.054.563","209.366","1,76","3,33","164.723.941","289.914.134,41","11,16","115.602.164","235,34","148.934.639,18"
"KUVEYT TURK","160.675","2.065.369","461.137,23","44.147","-9.100","1,76","0,01","2.030.322","3.573.365,82","0,14","1.869.647","1.163,62","3.112.228,59"
"MIDAS","1.900.536","30.420.893","5.454.538,10","1.768.832","-472.623","1,75","0,13","29.124.684","51.259.442,79","1,97","27.224.148","1.432,45","45.804.904,69"
"BANK OF AMERICA","11.108.914","8.486.416","31.882.581,91","-2.825.640","-1.972.870","1,76","0,75","13.284.926","23.381.468,75","0,90","2.176.012","19,59","-8.501.113,16"
"MARBAS","5.509.059","21.082.533","15.810.998,93","-275.708","-498","7,13","0,37","21.358.739","37.591.379,89","1,45","15.849.680","287,70","21.780.380,96"
"MERKEZ MENKUL","25","25","72,21","0","0","0,00","0,00","25","44,28","0,00","0","0,00","-27,93"
"MEKSA","801.563","1.864.148","2.300.486,26","110.569","-50.001","1,79","0,05","1.803.580","3.174.300,94","0,12","1.002.017","125,01","873.814,68"
"NCM INVESTMENT","95.599","52.825","274.369,52","0","0","0,00","0,01","52.825","92.971,74","0,00","-42.774","-44,74","-181.397,79"
"NUROL MENKUL","30","30","86,10","0","0","0,00","0,00","30","52,80","0,00","0","0,00","-33,30"
"OSMANLI","6.648.780","21.225.040","19.081.999,16","-11.427","-125.839","1,72","0,45","21.362.306","37.597.658,64","1,45","14.713.526","221,30","18.515.659,48"
"OYAK","6.232.919","25.876.436","17.888.476,39","-308.160","-140.317","1,70","0,42","26.324.913","46.331.846,68","1,78","20.091.994","322,35","28.443.370,30"
"PHILLIP","2.758.828","5.860.279","7.917.835,50","135.401","-56.867","1,83","0,19","5.781.745","10.175.871,62","0,39","3.022.917","109,57","2.258.036,12"
"PIRAMIT","599.764","523.278","1.721.321,55","0","0","0,00","0,04","523.278","920.969,43","0,04","-76.486","-12,75","-800.352,12"
"PAPARA ","2","1","5,60","0","0","0,00","0,00","1","1,76","0,00","-1","-48,72","-3,84"
"RAYMOND JAMES","10","10","29,68","0","0","0,00","0,00","10","18,20","0,00","0","0,00","-11,48"
"SAXO CAPITAL","13","13","37,88","0","0","0,00","0,00","13","23,23","0,00","0","0,00","-14,65"
"SEKER","1.245.815","3.818.217","3.575.487,50","-925.180","-14.669","1,94","0,08","4.758.066","8.374.196,27","0,32","3.512.252","281,92","4.798.708,77"
"SOYMEN MENKUL","2","2","6,63","0","0","0,00","0,00","2","4,07","0,00","0","0,00","-2,56"
"STRATEJI","451","50.617","1.295,40","0","0","0,00","0,00","50.617","89.086,62","0,00","50.166","11.114,42","87.791,22"
"TACIRLER","4.270.363","13.850.702","12.255.941,64","210.933","-20.000","1,86","0,29","13.659.769","24.041.192,64","0,93","9.389.406","219,87","11.785.251,00"
"TEB","8.722.361","21.421.642","25.033.175,07","144.185","-183.557","1,74","0,59","21.461.014","37.771.384,86","1,45","12.738.653","146,05","12.738.209,79"
"TURK EKONOMI BANKASI","0","254.698","0,00","0","0","0,00","0,00","254.698","448.268,48","0,02","254.698","0,00","NaN"
"TFG ISTANBUL","483","479","1.387,24","0","0","0,00","0,00","479","843,06","0,00","-4","-0,90","-544,19"
"GARANTI BANKASI","39","39","111,56","0","0","0,00","0,00","39","68,41","0,00","0","0,00","-43,15"
"IS BANKASI","507","1.053","1.453,97","0","0","0,00","0,00","1.053","1.852,47","0,00","546","107,76","398,50"
"TAKSIM","1","1","2,41","0","0","0,00","0,00","1","1,48","0,00","0","0,00","-0,93"
"TURKISH","178.903","355.682","513.451,50","0","0","0,00","0,01","355.682","626.000,21","0,02","176.779","98,81","112.548,71"
"TERA","21.973","146.450","63.063,17","-54.000","0","0,00","0,00","200.450","352.791,26","0,01","178.476","812,24","289.728,09"
"SINAI KALKINMA BANKASI","1","3","3,79","0","0","0,00","0,00","3","5,81","0,00","2","150,00","2,02"
"TRIVE","1.674.803","2.033.522","4.806.684,50","10.651","-10.631","1,72","0,11","2.033.502","3.578.963,11","0,14","358.699","21,42","-1.227.721,39"
"UNLU","317.693","177.297","911.779,05","-293.105","-3.848","1,25","0,02","474.250","834.679,38","0,03","156.557","49,28","-77.099,67"
"VAKIF","23.347.568","75.734.826","67.007.518,23","1.565.811","-220.198","1,74","1,58","74.389.213","130.925.014,42","5,04","51.041.645","218,62","63.917.496,18"
"YATIRIM FINANSMAN","7.261.928","5.338.542","20.841.731,12","22.061","-73.942","1,77","0,49","5.390.423","9.487.143,94","0,37","-1.871.505","-25,77","-11.354.587,19"
"YATIRIM FONLARI","2.675","133.809.337","7.677,25","0","0","0,00","0,00","133.809.337","235.504.430,96","9,07","133.806.662","5.002.118,19","235.496.753,71"
"YAPI KREDI BANKASI","2.211","2.507","6.346,23","0","0","0,00","0,00","2.507","4.413,04","0,00","296","13,39","-1.933,19"
"YAPI KREDI","16.638.936","61.210.253","47.753.743,81","-8.664","3.337.598","1,74","1,13","57.881.319","101.871.121,17","3,92","41.242.383","247,87","54.117.377,36"
"YATIRIMCI TAZMIN MERKEZI","1.741","2.062","4.997,22","0","0","0,00","0,00","2.062","3.629,89","0,00","321","18,45","-1.367,32"
"ZIRAAT","25.995.196","73.958.815","74.606.208,43","1.260.259","-276.854","1,73","1,76","72.975.410","128.436.720,38","4,94","46.980.214","180,73","53.830.511,95"
"TOPLAM FARK","521.165","1.164","1.495.744,35","0","0","","0,04","1.164","2.048,43","0,00","-520.001","-99,78","-1.493.695,92"
