"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","11.948","109.769","34.290,93","20.000","80","1,72","0,00","89.689","157.853,20","0,01","77.741","650,66","123.562,27"
"A1 CAPITAL","140.292.451","240.189.301","402.639.318,77","1.108.227","367.711","1,74","9,51","238.713.363","420.135.517,31","16,18","98.420.912","70,15","17.496.198,53"
"ANADOLU","264.536","2.238.392","759.217,14","0","0","0,00","0,02","2.238.392","3.939.569,55","0,15","1.973.856","746,16","3.180.352,40"
"AKBANK","3","2","9,73","0","0","0,00","0,00","2","4,29","0,00","-1","-28,02","-5,43"
"AK","36.770.810","57.221.329","105.532.219,46","-306.303","33.137","1,64","2,49","57.494.495","101.190.310,79","3,90","20.723.685","56,36","-4.341.908,67"
"ALFA MENKUL","39","39","112,56","0","0","0,00","0,00","39","69,03","0,00","0","0,00","-43,53"
"PUSULA YAT.","258.050","1.332.661","740.603,47","5.000","2.750","1,74","0,02","1.324.911","2.331.842,47","0,09","1.066.861","413,43","1.591.239,00"
"ALAN","2","2","4,74","0","0","0,00","0,00","2","2,90","0,00","0","0,00","-1,83"
"ALLBATROSS ","3.009.818","71.793","8.638.177,32","0","0","0,00","0,20","71.793","126.355,68","0,00","-2.938.025","-97,61","-8.511.821,64"
"ALTERNATIF","225.556","1.251.945","647.345,87","0","0","0,00","0,02","1.251.945","2.203.422,77","0,08","1.026.389","455,05","1.556.076,90"
"ALNUS","638.200","7.542.754","1.831.633,93","511.109","-205.359","1,75","0,04","7.237.004","12.737.126,09","0,49","6.598.804","1.033,97","10.905.492,16"
"ATA","2.149.220","3.241.574","6.168.262,50","8.736","465","0,01","0,15","3.232.373","5.688.976,57","0,22","1.083.153","50,40","-479.285,93"
"AHLATCI","1.510.304","6.121.653","4.334.571,07","-640.350","0","0,00","0,10","6.762.003","11.901.125,97","0,46","5.251.700","347,72","7.566.554,90"
"BULLS YATIRIM","451.782","2.711.727","1.296.614,37","-78.096","-3.688","1,75","0,03","2.793.511","4.916.579,47","0,19","2.341.729","518,33","3.619.965,10"
"NEO MENKUL","3.202","446.470","9.189,74","0","0","0,00","0,00","446.470","785.787,20","0,03","443.268","13.843,47","776.597,46"
"BIZIM","2.324.426","1.610.922","6.671.101,72","0","0","0,00","0,16","1.610.922","2.835.222,65","0,11","-713.504","-30,70","-3.835.879,07"
"BASKENT","9","10","26,63","0","0","0,00","0,00","10","17,60","0,00","1","7,76","-9,03"
"CITIBANK YABANCI","13.988.347","521.365","40.146.552,91","0","0","0,00","0,95","521.365","917.601,55","0,04","-13.466.982","-96,27","-39.228.951,36"
"COLENDI","480","362.597","1.377,60","0","311.860","1,75","0,00","50.737","89.296,24","0,00","50.257","10.470,10","87.918,64"
"CEROS","0","0","0,60","0","0","0,00","0,00","0","0,37","0,00","0","0,00","-0,23"
"CENSA","23","23","66,84","0","0","0,00","0,00","23","40,99","0,00","0","0,00","-25,85"
"DEUTSCHE BANK (YABANCI)","1.376.924","1","3.951.771,44","0","0","0,00","0,09","1","1,58","0,00","-1.376.923","-100,00","-3.951.769,85"
"DELTA","0","0","1,00","0","0","0,00","0,00","0","0,62","0,00","0","0,00","-0,39"
"DEHA","2","2","5,68","0","0","0,00","0,00","2","3,48","0,00","0","0,00","-2,20"
"DINAMIK","11.752","42.124","33.728,24","0","0","0,00","0,00","42.124","74.137,36","0,00","30.372","258,44","40.409,12"
"DENIZ","13.695.606","42.698.362","39.306.386,50","729.926","333.666","1,76","0,93","41.634.770","73.277.194,26","2,82","27.939.164","204,00","33.970.807,75"
"BURGAN","198.376","1.016.533","569.338,18","-4.420","-300","1,81","0,01","1.021.253","1.797.404,76","0,07","822.877","414,81","1.228.066,58"
"BTCTURK","321.216","725.215","921.889,88","-2.977","-851","1,76","0,02","729.043","1.283.115,67","0,05","407.827","126,96","361.225,79"
"ENDEKS MENKUL","2","2","5,34","0","0","0,00","0,00","2","3,27","0,00","0","0,00","-2,06"
"EURO FINANS ","0","1","0,00","0","0","0,00","0,00","1","2,46","0,00","1","0,00","NaN"
"FIBA","0","2.279.679","0,00","-6.863","43.284","1,74","0,00","2.243.258","3.948.134,06","0,15","2.243.258","0,00","NaN"
"QNB YATIRIM","5.950.084","16.410.103","17.076.741,52","-304.366","-147.778","1,72","0,40","16.862.247","29.677.555,39","1,14","10.912.163","183,40","12.600.813,87"
"GCM","5.543","96.480","15.908,41","0","0","0,00","0,00","96.480","169.804,80","0,01","90.937","1.640,57","153.896,39"
"GEDIK","69.266.142","14.753.998","198.793.819,01","372.945","-661.333","1,73","4,69","15.042.386","26.474.598,60","1,02","-54.223.756","-78,28","-172.319.220,41"
"GLOBAL","10.779.630","2.864.659","30.937.535,60","-3.100","10.251","1,79","0,73","2.857.508","5.029.213,95","0,19","-7.922.122","-73,49","-25.908.321,66"
"ING","763.949","1.626.232","2.192.533,54","217.415","9.704","1,73","0,05","1.399.113","2.462.438,87","0,09","635.164","83,14","269.905,32"
"GARANTI BBVA","44.141.586","113.361.852","126.686.346,91","-701.801","-131.291","1,68","2,99","114.194.944","200.983.099,66","7,74","70.053.358","158,70","74.296.752,75"
"HALK","18.537.393","40.681.309","53.202.315,90","223.423","426.753","1,76","1,26","40.031.133","70.454.793,94","2,71","21.493.740","115,95","17.252.478,04"
"HSBC","1.652.088","3.509.311","4.741.492,57","-2.931","-1.750","1,73","0,11","3.513.992","6.184.625,57","0,24","1.861.904","112,70","1.443.133,00"
"HEDEF ","0","1.180.198","0,00","0","0","0,00","0,00","1.180.198","2.077.148,47","0,08","1.180.198","0,00","NaN"
"INVEST AZ","890.084","5.376.253","2.554.540,98","360.629","966","1,77","0,06","5.014.658","8.825.798,03","0,34","4.124.574","463,39","6.271.257,05"
"ICBC BANK","2.633","2.633","7.556,05","0","0","0,00","0,00","2.633","4.633,68","0,00","0","0,00","-2.922,37"
