"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"DEHA","2","2","2,69","0","0","0,00","0,00","2","3,48","0,00","0","0,00","0,79"
"DINAMIK","32.981","42.124","44.854,16","0","0","0,00","0,00","42.124","74.137,36","0,00","9.143","27,72","29.283,20"
"DENIZ","20.363.580","42.698.362","27.694.469,64","729.926","333.666","1,76","1,38","41.634.770","73.277.194,26","2,82","21.271.189","104,46","45.582.724,62"
"BURGAN","1.127.108","1.016.533","1.532.866,46","-4.420","-300","1,81","0,08","1.021.253","1.797.404,76","0,07","-105.855","-9,39","264.538,30"
"BTCTURK","340.806","725.215","463.496,16","-2.977","-851","1,76","0,02","729.043","1.283.115,67","0,05","388.237","113,92","819.619,51"
"ENDEKS MENKUL","2","2","2,53","0","0","0,00","0,00","2","3,27","0,00","0","0,00","0,74"
"EURO FINANS ","1","1","1,90","0","0","0,00","0,00","1","2,46","0,00","0","0,00","0,56"
"FIBA","556.186","2.279.679","756.412,29","-6.863","43.284","1,74","0,04","2.243.258","3.948.134,06","0,15","1.687.073","303,33","3.191.721,77"
"QNB YATIRIM","6.692.250","16.410.103","9.101.459,95","-304.366","-147.778","1,72","0,45","16.862.247","29.677.555,39","1,14","10.169.998","151,97","20.576.095,44"
"GCM","22.089","96.480","30.041,04","0","0","0,00","0,00","96.480","169.804,80","0,01","74.391","336,78","139.763,76"
"GEDIK","13.925.179","14.753.998","18.938.243,03","372.945","-661.333","1,73","0,94","15.042.386","26.474.598,60","1,02","1.117.207","8,02","7.536.355,57"
"GLOBAL","1.274.623","2.864.659","1.733.487,86","-3.100","10.251","1,79","0,09","2.857.508","5.029.213,95","0,19","1.582.885","124,18","3.295.726,09"
"ING","869.384","1.626.232","1.182.362,25","217.415","9.704","1,73","0,06","1.399.113","2.462.438,87","0,09","529.729","60,93","1.280.076,61"
"GARANTI BBVA","50.012.705","113.361.852","68.017.279,58","-701.801","-131.291","1,68","3,39","114.194.944","200.983.099,66","7,74","64.182.239","128,33","132.965.820,08"
"HALK","15.786.966","40.681.309","21.470.273,95","223.423","426.753","1,76","1,07","40.031.133","70.454.793,94","2,71","24.244.167","153,57","48.984.520,00"
"HSBC","2.244.140","3.509.311","3.052.030,61","-2.931","-1.750","1,73","0,15","3.513.992","6.184.625,57","0,24","1.269.852","56,59","3.132.594,96"
"HEDEF ","1.180.198","1.180.198","1.605.069,30","0","0","0,00","0,08","1.180.198","2.077.148,47","0,08","0","0,00","472.079,17"
"INVEST AZ","2.860.689","5.376.253","3.890.537,08","360.629","966","1,77","0,19","5.014.658","8.825.798,03","0,34","2.153.969","75,30","4.935.260,95"
"ICBC BANK","2.633","2.633","3.580,57","0","0","0,00","0,00","2.633","4.633,68","0,00","0","0,00","1.053,11"
"ICBC TURKEY","3.682.141","10.682.382","5.007.711,81","-22.473","0","0,00","0,25","10.704.855","18.840.545,51","0,73","7.022.714","190,72","13.832.833,69"
"IKON","2.305","12","3.134,80","0","0","0,00","0,00","12","21,12","0,00","-2.293","-99,48","-3.113,68"
"INTEGRAL","434.528","236.653","590.957,60","0","196","1,74","0,03","236.457","416.164,49","0,02","-198.071","-45,58","-174.793,10"
"INFO","46.443.717","221.745.847","63.163.455,28","999.868","-303.623","1,76","3,15","221.049.602","389.047.296,92","14,98","174.605.885","375,95","325.883.841,64"
"IS","62.407.143","161.878.744","84.873.715,10","-3.054.563","209.366","1,76","4,23","164.723.941","289.914.134,41","11,16","102.316.798","163,95","205.040.419,31"
"KUVEYT TURK","627.357","2.065.369","853.205,53","44.147","-9.100","1,76","0,04","2.030.322","3.573.365,82","0,14","1.402.965","223,63","2.720.160,29"
"MIDAS","14.211.131","30.420.893","19.327.137,68","1.768.832","-472.623","1,75","0,96","29.124.684","51.259.442,79","1,97","14.913.553","104,94","31.932.305,10"
"BANK OF AMERICA","9.230.773","8.486.416","12.553.851,41","-2.825.640","-1.972.870","1,76","0,63","13.284.926","23.381.468,75","0,90","4.054.153","43,92","10.827.617,34"
"MARBAS","6.828.488","21.082.533","9.286.743,89","-275.708","-498","7,13","0,46","21.358.739","37.591.379,89","1,45","14.530.251","212,79","28.304.636,00"
"MERKEZ MENKUL","25","25","34,22","0","0","0,00","0,00","25","44,28","0,00","0","0,00","10,06"
"MEKSA","271.774","1.864.148","369.612,22","110.569","-50.001","1,79","0,02","1.803.580","3.174.300,94","0,12","1.531.806","563,63","2.804.688,72"
"NCM INVESTMENT","65.261","52.825","88.755,15","0","0","0,00","0,00","52.825","92.971,74","0,00","-12.436","-19,06","4.216,58"
"NUROL MENKUL","30","30","40,80","0","0","0,00","0,00","30","52,80","0,00","0","0,00","12,00"
"OSMANLI","7.721.831","21.225.040","10.501.690,90","-11.427","-125.839","1,72","0,52","21.362.306","37.597.658,64","1,45","13.640.475","176,65","27.095.967,74"
"OYAK","11.220.691","25.876.436","15.260.139,72","-308.160","-140.317","1,70","0,76","26.324.913","46.331.846,68","1,78","15.104.222","134,61","31.071.706,97"
"PHILLIP","2.638.099","5.860.279","3.587.815,10","135.401","-56.867","1,83","0,18","5.781.745","10.175.871,62","0,39","3.143.646","119,16","6.588.056,52"
"PIRAMIT","527.714","523.278","717.690,54","0","0","0,00","0,04","523.278","920.969,43","0,04","-4.436","-0,84","203.278,89"
"PAPARA ","1","1","1,36","0","0","0,00","0,00","1","1,76","0,00","0","0,00","0,40"
"RAYMOND JAMES","10","10","14,06","0","0","0,00","0,00","10","18,20","0,00","0","0,00","4,14"
"SAXO CAPITAL","13","13","17,95","0","0","0,00","0,00","13","23,23","0,00","0","0,00","5,28"
"SEKER","4.690.429","3.818.217","6.378.982,84","-925.180","-14.669","1,94","0,32","4.758.066","8.374.196,27","0,32","67.638","1,44","1.995.213,43"
"SOYMEN MENKUL","2","2","3,14","0","0","0,00","0,00","2","4,07","0,00","0","0,00","0,92"
"STRATEJI","451","50.617","613,85","0","0","0,00","0,00","50.617","89.086,62","0,00","50.166","11.114,42","88.472,77"
"TACIRLER","52.166.263","13.850.702","70.946.118,32","210.933","-20.000","1,86","3,53","13.659.769","24.041.192,64","0,93","-38.506.494","-73,81","-46.904.925,68"
"TEB","8.951.889","21.421.642","12.174.569,17","144.185","-183.557","1,74","0,61","21.461.014","37.771.384,86","1,45","12.509.125","139,74","25.596.815,69"
"TURK EKONOMI BANKASI","98.326","254.698","133.723,36","0","0","0,00","0,01","254.698","448.268,48","0,02","156.372","159,03","314.545,12"
"TFG ISTANBUL","479","479","651,45","0","0","0,00","0,00","479","843,06","0,00","0","0,00","191,60"
"GARANTI BANKASI","39","39","52,86","0","0","0,00","0,00","39","68,41","0,00","0","0,00","15,55"
"IS BANKASI","426","1.053","579,50","0","0","0,00","0,00","1.053","1.852,47","0,00","626","147,02","1.272,97"
"TAKSIM","1","1","1,14","0","0","0,00","0,00","1","1,48","0,00","0","0,00","0,34"
"TURKISH","140.180","355.682","190.644,76","0","0","0,00","0,01","355.682","626.000,21","0,02","215.502","153,73","435.355,45"
"TERA","24.457","146.450","33.261,83","-54.000","0","0,00","0,00","200.450","352.791,26","0,01","175.992","719,59","319.529,43"
"SINAI KALKINMA BANKASI","1","3","1,80","0","0","0,00","0,00","3","5,81","0,00","2","150,00","4,01"
"TRIVE","1.042.245","2.033.522","1.417.453,73","10.651","-10.631","1,72","0,07","2.033.502","3.578.963,11","0,14","991.256","95,11","2.161.509,38"
"UNLU","221.854","177.297","301.721,52","-293.105","-3.848","1,25","0,02","474.250","834.679,38","0,03","252.396","113,77","532.957,85"
"VAKIF","38.150.001","75.734.826","51.884.001,93","1.565.811","-220.198","1,74","2,59","74.389.213","130.925.014,42","5,04","36.239.212","94,99","79.041.012,48"
"YATIRIM FINANSMAN","2.334.275","5.338.542","3.174.614,29","22.061","-73.942","1,77","0,16","5.390.423","9.487.143,94","0,37","3.056.148","130,92","6.312.529,64"
"YATIRIM FONLARI","46.093.805","133.809.337","62.687.575,46","0","0","0,00","3,12","133.809.337","235.504.430,96","9,07","87.715.532","190,30","172.816.855,50"
"YAPI KREDI BANKASI","2.209","2.507","3.004,55","0","0","0,00","0,00","2.507","4.413,04","0,00","298","13,50","1.408,49"
"YAPI KREDI","24.020.652","61.210.253","32.668.086,57","-8.664","3.337.598","1,74","1,63","57.881.319","101.871.121,17","3,92","33.860.668","140,96","69.203.034,60"
"YATIRIMCI TAZMIN MERKEZI","1.912","2.062","2.600,58","0","0","0,00","0,00","2.062","3.629,89","0,00","150","7,86","1.029,32"
"ZIRAAT","34.399.593","73.958.815","46.783.447,05","1.260.259","-276.854","1,73","2,33","72.975.410","128.436.720,38","4,94","38.575.817","112,14","81.653.273,32"
"TOPLAM FARK","1.164","1.164","1.582,89","0","0","","0,00","1.164","2.048,43","0,00","0","0,00","465,54"
