"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","3.956.239","109.769","5.380.485,18","20.000","80","1,72","0,27","89.689","157.853,20","0,01","-3.866.550","-97,73","-5.222.631,98"
"A1 CAPITAL","96.091.739","240.189.301","130.684.765,95","1.108.227","367.711","1,74","6,51","238.713.363","420.135.517,31","16,18","142.621.625","148,42","289.450.751,36"
"ANADOLU","2.075.433","2.238.392","2.822.588,64","0","0","0,00","0,14","2.238.392","3.939.569,55","0,15","162.959","7,85","1.116.980,91"
"AKBANK","2","2","3,32","0","0","0,00","0,00","2","4,29","0,00","0","0,00","0,98"
"AK","41.408.484","57.221.329","56.315.538,72","-306.303","33.137","1,64","2,81","57.494.495","101.190.310,79","3,90","16.086.011","38,85","44.874.772,07"
"ALFA MENKUL","39","39","53,34","0","0","0,00","0,00","39","69,03","0,00","0","0,00","15,69"
"PUSULA YAT.","1.232.086","1.332.661","1.675.636,98","5.000","2.750","1,74","0,08","1.324.911","2.331.842,47","0,09","92.825","7,53","656.205,49"
"ALAN","2","2","2,24","0","0","0,00","0,00","2","2,90","0,00","0","0,00","0,66"
"ALLBATROSS ","7.818","71.793","10.632,48","0","0","0,00","0,00","71.793","126.355,68","0,00","63.975","818,30","115.723,20"
"ALTERNATIF","509.307","1.251.945","692.657,61","0","0","0,00","0,03","1.251.945","2.203.422,77","0,08","742.638","145,81","1.510.765,16"
"ALNUS","1.349.933","7.542.754","1.835.908,90","511.109","-205.359","1,75","0,09","7.237.004","12.737.126,09","0,49","5.887.071","436,10","10.901.217,19"
"ATA","1.979.796","3.241.574","2.692.522,82","8.736","465","0,01","0,13","3.232.373","5.688.976,57","0,22","1.252.577","63,27","2.996.453,75"
"AHLATCI","1.527.010","6.121.653","2.076.733,04","-640.350","0","0,00","0,10","6.762.003","11.901.125,97","0,46","5.234.994","342,83","9.824.392,94"
"BULLS YATIRIM","2.393.108","2.711.727","3.254.626,96","-78.096","-3.688","1,75","0,16","2.793.511","4.916.579,47","0,19","400.403","16,73","1.661.952,52"
"NEO MENKUL","417","446.470","567,12","0","0","0,00","0,00","446.470","785.787,20","0,03","446.053","106.967,15","785.220,08"
"BIZIM","788.092","1.610.922","1.071.805,51","0","0","0,00","0,05","1.610.922","2.835.222,65","0,11","822.830","104,41","1.763.417,14"
"BASKENT","4","10","5,44","0","0","0,00","0,00","10","17,60","0,00","6","150,00","12,16"
"CITIBANK YABANCI","831.855","521.365","1.131.322,16","0","0","0,00","0,06","521.365","917.601,55","0,04","-310.490","-37,33","-213.720,61"
"COLENDI","5.054","362.597","6.873,44","0","311.860","1,75","0,00","50.737","89.296,24","0,00","45.683","903,89","82.422,80"
"CEROS","0","0","0,29","0","0","0,00","0,00","0","0,37","0,00","0","0,00","0,08"
"CENSA","23","23","31,67","0","0","0,00","0,00","23","40,99","0,00","0","0,00","9,32"
"DEUTSCHE BANK (YABANCI)","1","1","1,22","0","0","0,00","0,00","1","1,58","0,00","0","0,00","0,36"
"DELTA","0","0","0,48","0","0","0,00","0,00","0","0,62","0,00","0","0,00","0,14"
