"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","9.738","10.148","299.930,39","1.027","0","0,00","0,02","9.121","364.657,58","0,02","-617","-6,34","64.727,18"
"A1 CAPITAL","451.112","353.566","13.894.243,10","2.683","-2.818","39,37","1,01","353.701","14.140.957,82","0,79","-97.411","-21,59","246.714,73"
"ANADOLU","14.732","10.714","453.733,27","0","0","0,00","0,03","10.714","428.329,72","0,02","-4.018","-27,27","-25.403,55"
"AK","2.511.560","2.309.261","77.356.058,10","11.285","11.959","39,64","5,62","2.286.017","91.394.974,21","5,12","-225.543","-8,98","14.038.916,11"
"PUSULA YAT.","55.587","44.239","1.712.091,88","18.855","305","39,34","0,12","25.079","1.002.674,40","0,06","-30.508","-54,88","-709.417,48"
"ALTERNATIF","27.173","26.920","836.928,38","0","0","0,00","0,06","26.920","1.076.261,59","0,06","-253","-0,93","239.333,21"
"ALNUS","74.489","104.882","2.294.261,14","-1.620","0","0,00","0,17","106.502","4.257.949,91","0,24","32.013","42,98","1.963.688,77"
"ATA","174.621","156.748","5.378.326,67","-767","1.283","39,43","0,39","156.232","6.246.155,29","0,35","-18.389","-10,53","867.828,62"
"AHLATCI","22.488","15.033","692.636,54","60","0","0,00","0,05","14.973","598.628,53","0,03","-7.515","-33,42","-94.008,01"
"BULLS YATIRIM","67.041","51.860","2.064.850,43","172","-2.020","39,58","0,15","53.708","2.147.229,82","0,12","-13.333","-19,89","82.379,39"
"NEO MENKUL","5.236","54","161.268,80","0","0","0,00","0,01","54","2.158,92","0,00","-5.182","-98,97","-159.109,88"
"BIZIM","176.467","119.808","5.435.177,31","0","0","0,00","0,40","119.808","4.789.915,79","0,27","-56.659","-32,11","-645.261,52"
"CITIBANK YABANCI","50.048","10.080","1.541.484,52","0","0","0,00","0,11","10.080","403.006,39","0,02","-39.968","-79,86","-1.138.478,13"
"COLENDI","601","15.858","18.510,80","-28","0","0,00","0,00","15.886","635.122,27","0,04","15.285","2.543,26","616.611,47"
"DEUTSCHE BANK (YABANCI)","0","0","6,16","0","0","0,00","0,00","0","8,00","0,00","0","0,00","1,84"
"DESTEK","65.000","80.000","2.001.999,95","0","0","0,00","0,15","80.000","3.198.399,96","0,18","15.000","23,08","1.196.400,01"
"DINAMIK","6","1","197,12","0","0","0,00","0,00","1","55,97","0,00","-5","-78,13","-141,15"
"DENIZ","1.166.312","1.241.937","35.922.408,71","-1.890","-5.213","39,18","2,61","1.249.040","49.936.618,63","2,80","82.728","7,09","14.014.209,92"
