"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"BURGAN","335.986","333.833","10.348.374,70","0","0","0,00","0,75","333.833","13.346.651,18","0,75","-2.153","-0,64","2.998.276,48"
"BTCTURK","25.525","16.166","786.169,98","-7.275","-117","24,28","0,06","23.558","941.848,83","0,05","-1.967","-7,71","155.678,85"
"EMEKLILIK FONLARI","17.021","318.160","524.246,79","0","0","0,00","0,04","318.160","12.720.036,65","0,71","301.139","1.769,22","12.195.789,87"
"FIBA","32.188","52.844","991.378,06","-3.524","90","39,40","0,07","56.278","2.249.978,42","0,13","24.090","74,84","1.258.600,37"
"QNB YATIRIM","1.002.959","929.734","30.891.148,75","-4.826","2.295","40,51","2,25","932.265","37.271.970,27","2,09","-70.694","-7,05","6.380.821,51"
"GCM","6.317","6.317","194.557,44","0","0","0,00","0,01","6.317","252.545,66","0,01","0","0,00","57.988,23"
"GEDIK","884.612","885.962","27.246.061,25","-12.384","-102","49,33","1,98","898.448","35.919.966,62","2,01","13.836","1,56","8.673.905,38"
"GLOBAL","94.186","115.419","2.900.941,05","7.870","50","39,44","0,21","107.499","4.297.825,96","0,24","13.313","14,13","1.396.884,91"
"ING","90.245","82.780","2.779.558,25","-472","3.753","39,98","0,20","79.499","3.178.385,98","0,18","-10.746","-11,91","398.827,72"
"GARANTI BBVA","3.779.139","3.464.028","116.397.464,15","-37.963","37.614","39,25","8,46","3.464.377","138.505.772,48","7,76","-314.762","-8,33","22.108.308,33"
"HALK","6.602.589","5.820.949","203.359.742,32","-38.896","-2.709","40,59","14,79","5.862.554","234.384.914,23","13,13","-740.035","-11,21","31.025.171,91"
"HSBC","83.884","80.849","2.583.627,14","2.795","-2.000","39,49","0,19","80.054","3.200.558,88","0,18","-3.830","-4,57","616.931,75"
"INVEST AZ","51.837","34.965","1.596.591,88","-100","0","0,00","0,12","35.065","1.401.914,68","0,08","-16.772","-32,36","-194.677,20"
"ICBC TURKEY","71.268","55.067","2.195.054,35","0","0","0,00","0,16","55.067","2.201.578,63","0,12","-16.201","-22,73","6.524,29"
"INTEGRAL","75.701","75.142","2.331.596,90","750","0","0,00","0,17","74.392","2.974.200,12","0,17","-1.309","-1,73","642.603,22"
"INFO","810.542","1.103.247","24.964.692,98","26.366","20.687","38,88","1,82","1.056.194","42.226.635,64","2,37","245.652","30,31","17.261.942,65"
"IS","5.670.486","5.539.996","174.650.972,17","56.145","11.623","40,19","12,70","5.472.228","218.779.674,93","12,26","-198.258","-3,50","44.128.702,76"
"KUVEYT TURK","1.260.747","688.374","38.831.018,96","5.775","-5.029","39,53","2,82","687.628","27.491.383,12","1,54","-573.119","-45,46","-11.339.635,84"
"MIDAS","1.056.724","1.054.134","32.547.086,07","-2.429","-6.143","38,14","2,37","1.062.706","42.486.969,40","2,38","5.982","0,57","9.939.883,33"
"BANK OF AMERICA","236.034","1.686.568","7.269.847,02","-55.333","85","-563,41","0,53","1.741.816","69.637.802,88","3,90","1.505.782","637,95","62.367.955,86"
"MARBAS","266.574","356.177","8.210.491,32","7.398","-1.575","39,28","0,60","350.354","14.007.168,75","0,78","83.780","31,43","5.796.677,44"
"MEKSA","61.089","147.864","1.881.553,47","626","-3.121","39,93","0,14","150.359","6.011.368,74","0,34","89.270","146,13","4.129.815,27"
"NCM INVESTMENT","5.386","5.420","165.888,80","0","0","0,00","0,01","5.420","216.691,60","0,01","34","0,63","50.802,80"
"OSMANLI","883.482","907.447","27.211.257,25","6.036","-8.730","39,21","1,98","910.141","36.387.452,76","2,04","26.659","3,02","9.176.195,51"
"OYAK","1.501.972","1.371.916","46.260.736,45","7.954","69.110","39,08","3,36","1.294.852","51.768.182,37","2,90","-207.120","-13,79","5.507.445,91"
"PHILLIP","208.894","199.244","6.433.935,04","20.750","-3.864","42,56","0,47","182.358","7.290.672,76","0,41","-26.536","-12,70","856.737,72"
"PIRAMIT","183.327","2","5.646.477,62","0","0","0,00","0,41","2","87,96","0,00","-183.325","-100,00","-5.646.389,66"
"SEKER","47.998","326.058","1.478.332,20","615","1.000","39,60","0,11","324.443","12.971.223,00","0,73","276.445","575,95","11.492.890,79"
"STRATEJI","3.000","3.000","92.400,00","0","0","0,00","0,01","3.000","119.940,00","0,01","0","0,00","27.540,00"
"TACIRLER","474.276","255.367","14.607.712,76","-45.556","19.160","39,68","1,06","281.763","11.264.900,60","0,63","-192.513","-40,59","-3.342.812,16"
"TEB","1.169.222","1.006.995","36.012.042,87","77.498","-10.837","38,90","2,62","940.334","37.594.560,89","2,11","-228.888","-19,58","1.582.518,02"
"TURK EKONOMI BANKASI","88.709","238.008","2.732.224,81","0","0","0,00","0,20","238.008","9.515.543,74","0,53","149.299","168,30","6.783.318,93"
"IS BANKASI","16","17","505,12","0","0","0,00","0,00","17","663,67","0,00","0","1,22","158,55"
"TURKISH","10.013","7.913","308.400,39","-100","0","0,00","0,02","8.013","320.359,74","0,02","-2.000","-19,97","11.959,34"
"TERA","18.776","27.577","578.300,79","752","6.000","39,29","0,04","20.825","832.583,49","0,05","2.049","10,91","254.282,70"
"TRIVE","46.287","33.790","1.425.633,40","1.721","-1.819","39,32","0,10","33.888","1.354.834,23","0,08","-12.399","-26,79","-70.799,18"
"UNLU","274.370","303.984","8.450.601,95","207","6.864","39,27","0,61","296.913","11.870.589,60","0,66","22.543","8,22","3.419.987,65"
"VAKIF","4.403.474","3.518.118","135.627.002,62","10.045","-99.363","38,85","9,86","3.607.436","144.225.298,42","8,08","-796.038","-18,08","8.598.295,81"
"YATIRIM FINANSMAN","231.152","107.844","7.119.469,10","-501","3.100","39,33","0,52","105.245","4.207.679,06","0,24","-125.907","-54,47","-2.911.790,04"
"YATIRIM FONLARI","586.553","2.788.128","18.065.831,95","0","0","0,00","1,31","2.788.128","111.469.356,16","6,24","2.201.575","375,34","93.403.524,21"
"YAPI KREDI","2.897.098","2.688.462","89.230.610,03","-80.427","-31.814","39,11","6,49","2.800.703","111.972.096,66","6,27","-96.395","-3,33","22.741.486,63"
"ZIRAAT","4.228.127","3.461.023","130.226.301,29","26.706","-7.704","38,91","9,47","3.442.021","137.611.988,81","7,71","-786.106","-18,59","7.385.687,52"
"TOPLAM FARK","0","0","0,62","0","0","","0,00","0","0,80","0,00","0","0,00","0,18"
