"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"GCM","5.984","7.317","175.564,69","0","1.000","30,68","0,01","6.317","193.294,08","0,01","333","5,57","17.729,39"
"GEDIK","833.107","871.661","24.443.371,24","-3.505","-12.951","31,27","1,87","888.117","27.176.392,78","1,99","55.010","6,60","2.733.021,54"
"GLOBAL","106.977","94.186","3.138.716,93","0","0","0,00","0,24","94.186","2.882.103,88","0,21","-12.791","-11,96","-256.613,06"
"ING","129.491","89.605","3.799.277,70","-1.402","-640","30,59","0,29","91.647","2.804.410,47","0,21","-37.844","-29,23","-994.867,22"
"GARANTI BBVA","3.645.996","3.772.309","106.973.509,70","-15.719","-6.830","29,33","8,17","3.794.858","116.122.642,17","8,50","148.862","4,08","9.149.132,47"
"HALK","6.702.405","6.629.036","196.648.569,59","-20.141","26.447","30,83","15,01","6.622.730","202.655.546,65","14,83","-79.675","-1,19","6.006.977,06"
"HSBC","136.877","83.884","4.015.971,20","12.000","0","0,00","0,31","71.884","2.199.650,43","0,16","-64.993","-47,48","-1.816.320,77"
"INVEST AZ","28.155","51.737","826.079,44","0","-100","30,78","0,06","51.837","1.586.224,46","0,12","23.682","84,11","760.145,02"
"ICBC TURKEY","63.281","71.268","1.856.664,55","250","0","0,00","0,14","71.018","2.173.150,83","0,16","7.737","12,23","316.486,28"
"INTEGRAL","82.349","75.701","2.416.125,54","0","0","0,00","0,18","75.701","2.316.456,75","0,17","-6.648","-8,07","-99.668,79"
"INFO","711.310","796.754","20.869.835,51","-22.343","-13.788","30,62","1,59","832.885","25.486.281,32","1,87","121.575","17,09","4.616.445,81"
"IS","6.154.116","5.685.394","180.561.759,98","-50.558","7.508","31,87","13,78","5.728.444","175.290.396,24","12,83","-425.672","-6,92","-5.271.363,74"
"KUVEYT TURK","1.298.026","1.251.359","38.084.094,77","-32.957","-9.388","30,88","2,91","1.293.704","39.587.355,13","2,90","-4.322","-0,33","1.503.260,36"
"MIDAS","1.043.263","1.055.801","30.609.324,84","-19.818","-923","29,83","2,34","1.076.542","32.942.173,37","2,41","33.279","3,19","2.332.848,53"
"BANK OF AMERICA","168.959","274.717","4.957.257,09","36.658","38.683","30,45","0,38","199.376","6.100.905,68","0,45","30.417","18,00","1.143.648,59"
"MARBAS","275.598","275.440","8.086.057,10","753","8.866","30,95","0,62","265.821","8.134.134,94","0,60","-9.777","-3,55","48.077,84"
"MEKSA","84.019","72.089","2.465.129,21","0","11.000","30,69","0,19","61.089","1.869.335,66","0,14","-22.930","-27,29","-595.793,55"
"NCM INVESTMENT","5.521","5.386","161.986,14","0","0","0,00","0,01","5.386","164.811,60","0,01","-135","-2,45","2.825,46"
"OSMANLI","955.555","879.815","28.035.995,58","6.470","-3.667","30,31","2,14","877.012","26.836.579,77","1,96","-78.543","-8,22","-1.199.415,81"
"OYAK","1.481.292","1.488.051","43.461.107,51","1.846","-13.921","30,48","3,32","1.500.126","45.903.856,17","3,36","18.834","1,27","2.442.748,67"
"PHILLIP","284.109","203.949","8.335.758,10","-6.231","-4.945","30,64","0,64","215.125","6.582.825,08","0,48","-68.984","-24,28","-1.752.933,02"
"PIRAMIT","370.009","183.727","10.856.069,98","3.300","400","30,74","0,83","180.027","5.508.832,39","0,40","-189.982","-51,35","-5.347.237,60"
"SEKER","56.377","47.998","1.654.095,32","-286","0","0,00","0,13","48.284","1.477.484,30","0,11","-8.093","-14,36","-176.611,02"
"STRATEJI","3.000","3.000","88.020,00","0","0","0,00","0,01","3.000","91.800,00","0,01","0","0,00","3.780,00"
"TACIRLER","475.121","473.526","13.940.061,95","-6.286","-750","30,93","1,06","480.562","14.705.209,62","1,08","5.441","1,15","765.147,67"
"TEB","1.231.527","1.218.696","36.133.008,24","1.053","49.539","30,59","2,76","1.168.104","35.743.988,97","2,62","-63.423","-5,15","-389.019,27"
"TURK EKONOMI BANKASI","20.438","88.774","599.639,19","0","0","0,00","0,05","88.774","2.716.472,19","0,20","68.336","334,36","2.116.833,01"
"IS BANKASI","16","16","463,57","0","0","0,00","0,00","16","501,84","0,00","1","3,80","38,27"
"TURKISH","1.973","10.013","57.887,82","0","0","0,00","0,00","10.013","306.397,80","0,02","8.040","407,50","248.509,98"
"TERA","21.024","19.276","616.844,16","0","500","30,94","0,05","18.776","574.545,61","0,04","-2.248","-10,69","-42.298,56"
"TRIVE","46.860","46.287","1.374.866,54","-259","0","0,00","0,10","46.546","1.424.301,50","0,10","-314","-0,67","49.434,96"
"UNLU","284.751","265.532","8.354.600,25","499","-8.838","31,13","0,64","273.871","8.380.458,82","0,61","-10.880","-3,82","25.858,57"
"VAKIF","3.752.665","4.452.136","110.103.198,13","-13.051","48.568","30,65","8,40","4.416.619","135.148.549,82","9,89","663.954","17,69","25.045.351,69"
"YATIRIM FINANSMAN","190.029","226.152","5.575.439,15","1","-5.000","30,40","0,43","231.151","7.073.208,45","0,52","41.122","21,64","1.497.769,30"
"YATIRIM FONLARI","642.179","579.153","18.841.531,96","0","0","0,00","1,44","579.153","17.722.082,02","1,30","-63.026","-9,81","-1.119.449,94"
"YAPI KREDI","3.008.911","2.808.892","88.281.443,33","19.978","-88.191","30,65","6,74","2.877.105","88.039.407,98","6,44","-131.806","-4,38","-242.035,35"
"ZIRAAT","4.175.238","4.186.255","122.501.476,81","-22.754","-41.872","30,78","9,35","4.250.881","130.076.953,18","9,52","75.643","1,81","7.575.476,37"
"TOPLAM FARK","0","0","0,59","0","0","","0,00","0","0,61","0,00","0","0,00","0,03"
