"Aracı Kurum","Takas","Pozisyon","Tutar","Dün Lot","Gün Lot","Maliyet","%","Takas Son","Tutar Son","% Son","Adet Fark","% Adet Fark","TL Fark"
"ACAR","8.169","9.838","239.678,46","-155","100","30,74","0,02","9.893","302.725,80","0,02","1.724","21,10","63.047,34"
"A1 CAPITAL","494.553","451.793","14.510.179,23","-1.423","775","31,07","1,11","452.441","13.844.688,65","1,01","-42.112","-8,52","-665.490,57"
"ANADOLU","12.069","14.716","354.092,73","5","-16","31,84","0,03","14.727","450.633,97","0,03","2.658","22,02","96.541,24"
"AK","2.322.142","2.512.255","68.131.658,08","155.115","695","24,48","5,20","2.356.445","72.107.229,83","5,28","34.303","1,48","3.975.571,76"
"PUSULA YAT.","72.544","55.617","2.128.452,71","3.292","30","30,78","0,16","52.295","1.600.239,26","0,12","-20.249","-27,91","-528.213,45"
"ALTERNATIF","27.616","27.173","810.253,44","0","0","0,00","0,06","27.173","831.493,81","0,06","-443","-1,60","21.240,37"
"ALNUS","39.999","74.489","1.173.570,67","40","0","0,00","0,09","74.449","2.278.139,43","0,17","34.450","86,13","1.104.568,76"
"ATA","167.708","170.089","4.920.552,75","1.763","-4.532","31,48","0,38","172.858","5.289.454,87","0,39","5.150","3,07","368.902,12"
"AHLATCI","30.303","23.465","889.095,89","-431","977","36,87","0,07","22.919","701.327,53","0,05","-7.384","-24,37","-187.768,36"
"BULLS YATIRIM","90.073","68.051","2.642.730,10","-40","1.010","30,64","0,20","67.081","2.052.666,39","0,15","-22.992","-25,53","-590.063,71"
"NEO MENKUL","5.236","5.236","153.624,24","0","0","0,00","0,01","5.236","160.221,60","0,01","0","0,00","6.597,36"
"BIZIM","188.375","176.825","5.526.916,66","-10.000","358","13,84","0,42","186.467","5.705.884,15","0,42","-1.908","-1,01","178.967,49"
"CITIBANK YABANCI","8.932","58.246","262.070,75","0","0","0,00","0,02","58.246","1.782.333,74","0,13","49.314","552,09","1.520.262,99"
"COLENDI","55","2","1.613,70","599","-599","21,17","0,00","2","61,20","0,00","-53","-96,36","-1.552,50"
"DEUTSCHE BANK (YABANCI)","0","0","5,87","0","0","0,00","0,00","0","6,12","0,00","0","0,00","0,25"
"DESTEK","65.000","65.000","1.907.100,01","0","0","0,00","0,15","65.000","1.989.000,02","0,15","0","0,00","81.900,01"
"DINAMIK","6","6","187,78","0","0","0,00","0,00","6","195,84","0,00","0","0,00","8,06"
"DENIZ","1.270.326","1.165.546","37.271.365,03","-2.818","-766","30,60","2,85","1.169.130","35.775.378,45","2,62","-101.196","-7,97","-1.495.986,59"
"BURGAN","332.881","335.986","9.766.734,46","0","0","0,00","0,75","335.986","10.281.177,85","0,75","3.105","0,93","514.443,39"
"BTCTURK","25.314","25.823","742.712,76","0","298","30,90","0,06","25.525","781.065,01","0,06","211","0,83","38.352,25"
"EMEKLILIK FONLARI","17.021","17.021","499.396,14","0","0","0,00","0,04","17.021","520.842,61","0,04","0","0,00","21.446,46"
"FIBA","26.016","32.239","763.297,71","217","51","31,02","0,06","31.971","978.300,37","0,07","5.955","22,89","215.002,66"
"QNB YATIRIM","968.937","1.015.688","28.428.623,46","-13.662","20.912","30,66","2,17","1.008.438","30.858.215,42","2,26","39.501","4,08","2.429.591,96"
